# Energy calibration data for D01
#
# Format: [+/-], [Strip#], [E_0], [E_1], [E_2], [E_3], [E_4], [F_0], [F_1], [F_2]
#
# Gives coefficients to calculate the energy from ADC channel.
# If X is the energy in ADC channels, then
#     #    E = E_0 + E_1*X + E_2*X^2 + E_3*exp(-(X/E_4)^3)
# is the corresponding energy in keV.  Once E is calculated, then
#    F = sqrt(F_0^2 + F_1^2*E + F_2^2*E^2)
# is the energy resolution in keV FWHM at energy E.
#
# This file created on: Thu Oct 15 18:53:38 2009
# Data file used in analysis: dump_data_log_090312_D0-D9_Co60_back.txt
# Data file used in analysis: dump_data_log_090312_D0-D9_Co60_front.txt
# Data file used in analysis: dump_data_log_090312_D0-D9_Cs137_back.txt
# Data file used in analysis: dump_data_log_090312_D0-D9_Cs137_front.txt
# Data file used in analysis: dump_data_log_090314_D0-D9_Am241_Ba133_Co57_I129.txt
# Nuclear lines used in analysis: Co-60 1333 keV, Co-60 1173 keV, Cs-137 662 keV, Ba-133 356 keV, Ba-133 384 keV, Ba-133 303 keV, Ba-133 276 keV, Am-241 60 keV, Ba-133 81 keV, Co-57 122 keV, I-129 30 keV
#
# Analysis performed by Mark Bandstra.
#
+, 36, -4.4718746,  0.2302069, -0.00000012301673,  3.2326268,   743.1636,  4.6973348,  0.0000000,  0.0000000
+, 37, -5.6576667,  0.2291315, -0.00000036905138,  4.4270082,   742.7488,  1.6119027,  0.1281618,  0.0000000
-,  1, -0.5556778,  0.2257867,  0.00000017840910,  1.2000000,   740.0000,  2.5000000,  0.0000000,  0.0000000
-,  2, -2.8331514,  0.2257155,  0.00000001506014,  2.3679033,   734.3618,  1.5678357,  0.1187925,  0.0000000
-,  3, -3.3282365,  0.2264429, -0.00000004260924,  2.6559605,   748.3620,  1.7020223,  0.0795970,  0.0000000
-,  4, -3.3266803,  0.2264582, -0.00000003353141,  2.5493303,   717.9976,  1.6494615,  0.1029261,  0.0000000
-,  5, -3.3088762,  0.2246851, -0.00000004526503,  2.6551470,   752.5126,  1.8578562,  0.0685247,  0.0000000
-,  6, -3.1726384,  0.2283759, -0.00000003559443,  2.5209583,   724.5460,  1.8431333,  0.0675574,  0.0000000
-,  7, -3.1745096,  0.2228186, -0.00000003635697,  2.4823472,   773.0156,  1.8029239,  0.0631158,  0.0000000
-,  8, -3.2923896,  0.2292854, -0.00000000389823,  2.6057090,   740.1722,  2.1014383,  0.0486256,  0.0000000
-,  9, -3.6693044,  0.2269448, -0.00000005041850,  2.7513131,   728.6265,  1.7046846,  0.0733138,  0.0000000
-, 10, -3.4284559,  0.2272341,  0.00000001079452,  2.6425962,   748.6323,  1.8588901,  0.0574853,  0.0000000
-, 11, -3.1490790,  0.2258749, -0.00000003767272,  2.6142543,   719.1473,  1.7986565,  0.0665072,  0.0000000
-, 12, -3.4129955,  0.2272812, -0.00000005019776,  2.7013192,   738.6580,  1.6730856,  0.0748577,  0.0000000
-, 13, -3.1415208,  0.2254083, -0.00000001754043,  2.5801763,   723.4795,  1.7293190,  0.0659600,  0.0000000
-, 14, -3.2238587,  0.2296696, -0.00000001465861,  2.4540021,   724.1096,  1.9765165,  0.0544212,  0.0000000
-, 15, -3.4676898,  0.2257588, -0.00000001989124,  2.6606685,   716.8469,  1.8302447,  0.0522413,  0.0000000
-, 16, -3.2233145,  0.2255703, -0.00000004487690,  2.6678913,   714.5596,  1.8139407,  0.0498035,  0.0000000
-, 17, -3.0923288,  0.2267861, -0.00000001472184,  2.6212702,   698.8163,  1.9160248,  0.0529545,  0.0000000
-, 18, -3.2857806,  0.2276448, -0.00000004601660,  2.5822865,   745.5240,  1.8179238,  0.0529120,  0.0000000
-, 19, -3.4450051,  0.2270211, -0.00000002329844,  2.6040928,   708.3051,  1.7764927,  0.0500354,  0.0000000
-, 20, -2.9765455,  0.2295090, -0.00000000285195,  2.5394204,   698.7022,  1.8552738,  0.0554755,  0.0000000
-, 21, -3.4359727,  0.2292777, -0.00000003838498,  2.6358892,   735.0647,  1.8745428,  0.0558530,  0.0000000
-, 22, -3.1530083,  0.2253421, -0.00000002970389,  2.5318938,   737.8833,  1.7468753,  0.0775793,  0.0000000
-, 23, -0.5556778,  0.2257867,  0.00000017840910,  1.2000000,   740.0000,  1.4799219,  0.1008541,  0.0000000
-, 24, -0.5556778,  0.2257867,  0.00000017840910,  1.2000000,   740.0000,  2.5000000,  0.0000000,  0.0000000
-, 25, -3.4209138,  0.2248520, -0.00000004022603,  2.5898004,   730.6095,  1.5966824,  0.0824037,  0.0000000
-, 26, -3.3328000,  0.2257852, -0.00000002261712,  2.6597538,   685.6944,  1.6254226,  0.1009515,  0.0000000
-, 27, -3.7849799,  0.2267148, -0.00000008685729,  3.0368717,   736.5877,  1.5621728,  0.1078504,  0.0000000
-, 28, -0.4122457,  0.2253586,  0.00000025113717,  0.6813222,   226.3617,  1.5310566,  0.1071959,  0.0000000
-, 29, -3.3672146,  0.2241592, -0.00000000455333,  2.8845641,   637.3842,  1.7272302,  0.1042579,  0.0000000
-, 30, -4.1367464,  0.2244536, -0.00000014062687,  3.4858372,   749.1551,  1.3931985,  0.1344734,  0.0000000
-, 31, -3.6283443,  0.2294478, -0.00000005919306,  2.8938422,   713.4780,  1.4551493,  0.1370584,  0.0000000
-, 32, -2.8765987,  0.2281152,  0.00000002702756,  2.4321122,   679.4347,  1.9235061,  0.0848641,  0.0000000
-, 33, -3.4378008,  0.2249755, -0.00000007293503,  2.6573404,   717.2542,  1.4194043,  0.1317113,  0.0000000
-, 34, -2.7247062,  0.2239902,  0.00000001308015,  2.4354921,   596.1831,  1.7974095,  0.0666062,  0.0000000
-, 35, -3.1248451,  0.2256323, -0.00000003455438,  2.4163182,   704.1572,  1.8373397,  0.0699583,  0.0000000
-, 36, -2.9402296,  0.2273022, -0.00000001677703,  2.2874933,   788.7772,  2.6888574,  0.1266389,  0.0000000
-, 37, -0.5556778,  0.2257867,  0.00000017840910,  1.2000000,   740.0000,  2.5000000,  0.0000000,  0.0000000
