# Threshold data for D06
#
# Format: [+/-], [Strip#], [LLD_threshold], [LLD_threshold_resolution], [FLD_threshold], [FLD_threshold_resolution]
#
# This file created on: Mon Nov  2 16:18:34 2009
# Data file used in analysis: dump_data_log_090312_D0-D9_Co60_back.txt
# Data file used in analysis: dump_data_log_090312_D0-D9_Co60_front.txt
# Data file used in analysis: dump_data_log_090312_D0-D9_Cs137_back.txt
# Data file used in analysis: dump_data_log_090312_D0-D9_Cs137_front.txt
# Data file used in analysis: dump_data_log_090314_D0-D9_Am241_Ba133_Co57_I129.txt
# Nuclear lines used in analysis: Co-60 1333 keV, Co-60 1173 keV, Cs-137 662 keV, Ba-133 356 keV, Ba-133 384 keV, Ba-133 303 keV, Ba-133 276 keV, Am-241 60 keV, Ba-133 81 keV, Co-57 122 keV, I-129 30 keV
#
# Analysis performed by Mark Bandstra.
#
+,  1,    18.3198,   0.4581,    37.3721,  13.1985
+,  2,    18.1944,   0.5422,    36.2293,  13.1714
+,  3,    17.7897,   0.3874,    36.8724,  13.7468
+,  4,    16.9519,   0.5145,    35.8179,  14.4425
+,  5,    17.0893,   0.4351,    36.2486,  13.5762
+,  6,    18.3837,   0.0837,    40.1895,  18.3404
+,  7,    18.2236,   0.2150,    36.6107,  14.1271
+,  8,    17.4713,   0.1966,    33.4394,  15.5270
+,  9,    17.8154,   0.3673,    36.5519,  15.0917
+, 10,    17.2319,   0.3565,    34.5957,  15.9565
+, 11,    18.6880,   0.4129,    36.1917,  15.0678
+, 12,    18.3539,   0.3610,    34.9811,  15.8501
+, 13,    16.6813,   0.3428,    35.3773,  17.4317
+, 14,    17.2339,   0.4907,    34.3066,  16.2205
+, 15,    18.9937,   0.4100,    35.5560,  16.7097
+, 16,    18.3688,   0.4914,    34.7810,  16.0774
+, 17,    18.7391,   0.3445,    36.2667,  17.1159
+, 18,    18.3258,   0.2657,    34.2102,  15.8832
+, 19,    16.9517,   0.3048,    34.9011,  18.6616
+, 20,    17.0260,   0.3506,    35.3238,  17.2466
+, 21,    17.7510,   0.3767,    34.7177,  15.6839
+, 22,    17.5795,   0.3994,    35.8391,  16.0753
+, 23,    17.5859,   0.3355,    34.8739,  16.6305
+, 24,    18.6424,   0.0874,    36.7096,  15.5207
+, 25,    18.4819,   0.4611,    35.9584,  14.9836
+, 26,    17.2557,   0.2861,    35.5185,  14.9014
+, 27,    18.6116,   0.4508,    36.0001,  13.7320
+, 28,    17.9982,   0.3154,    36.2103,  14.3752
+, 29,    17.4216,   0.4278,    35.6843,  13.2923
+, 30,    17.3900,   0.3718,    36.4857,  13.9186
+, 31,    18.2999,   0.1245,    36.8484,  13.3324
+, 32,    18.8496,   0.1149,    36.2400,  13.0118
+, 33,    17.4787,   0.0884,    36.2999,  13.0002
+, 34,    17.0029,   0.4549,    36.6453,  14.0023
+, 35,    18.3473,   0.1600,    36.0197,  12.3007
+, 36,    17.9942,   0.1695,    36.6930,  14.6218
+, 37,    18.0935,   0.6822,    35.8078,  11.0583
-,  1,    17.6473,   0.1004,    38.3397,  27.3359
-,  2,    19.3795,   0.4572,    35.8982,  21.0087
-,  3,    17.9207,   0.4463,    34.7475,  27.8953
-,  4,    18.4739,   0.0771,    34.5072,  24.6046
-,  5,    18.2495,   0.5075,    34.2061,  20.7123
-,  6,    18.4588,   0.4097,    34.5633,  23.1878
-,  7,    18.5791,   0.3518,    35.0220,  26.3294
-,  8,    18.4456,   0.4996,    35.1737,  24.2780
-,  9,    18.3913,   0.6168,    36.0251,  23.6429
-, 10,    18.0642,   0.4571,    36.3307,  23.2417
-, 11,    19.0822,   0.4019,    34.6891,  22.7255
-, 12,    19.1946,   0.1998,    35.2279,  21.9137
-, 13,    18.4068,   0.5885,    35.5152,  23.6135
-, 14,    17.8440,   0.1531,    35.1322,  21.1888
-, 15,    16.8899,   0.5121,    31.8230,  24.1319
-, 16,    18.6186,   0.1702,    36.3700,  22.7972
-, 17,    19.0079,   0.4689,    36.4355,  22.0535
-, 18,    18.2622,   0.5062,    37.6672,  24.9847
-, 19,    18.0160,   0.3359,    35.2071,  23.1506
-, 20,    18.6801,   0.3600,    36.6300,  22.6063
-, 21,    18.2567,   0.3437,    35.5338,  21.4343
-, 22,    19.1606,   0.3728,    37.4450,  22.3217
-, 23,    17.9445,   0.3878,    35.9932,  23.4724
-, 24,    18.4441,   0.1235,    36.7600,  21.3628
-, 25,    17.5296,   0.3288,    36.3447,  21.1450
-, 26,    19.2856,   0.8767,    38.2691,  16.7228
-, 27,    18.1797,   0.0791,    36.7133,  19.8719
-, 28,    18.2903,   0.3337,    37.4287,  18.9518
-, 29,    17.5511,   0.3767,    37.8923,  19.1741
-, 30,    18.6225,   0.2422,    38.2128,  17.8464
-, 31,    18.9126,   0.5207,    37.6686,  16.8764
-, 32,    17.8968,   0.4061,    37.9322,  18.5965
-, 33,    18.8695,   0.3505,    37.4245,  17.2298
-, 34,    19.2171,   0.3167,    38.0285,  16.6378
-, 35,    17.7000,   0.4360,    37.8092,  17.4123
-, 36,    19.0691,   0.7423,    37.6923,  15.5220
-, 37,    18.3940,   0.5876,    37.8422,  17.3345
