### 0
1.0012430527471534,1.0008768348737642,0.7531513658114104,0.17978189759514904
z_depth_cm,e_CCE_HV,h_CCE_HV,e_CCE_LV,h_CCE_LV
-0.7967025,0.996044089879154,1.0,0.9995463557830102,1.0
-0.7860904227,0.9960808157099698,1.0,0.9995800604626076,0.9999977341389727
-0.7754783454,0.996119996223565,1.0,0.9996122545683296,0.9999933912386708
-0.7648662680999999,0.9961587990936556,1.0,0.999639539308956,0.9999863104229608
-0.7542541908,0.9961969410876134,1.0,0.999662292327956,0.999974414652568
-0.7436421135,0.9962352719033232,1.0,0.9996822130209392,0.999960347432024
-0.7330300362,0.9962728474320244,1.0,0.9997007175509142,0.9999457137462237
-0.7224179588999999,0.9963108006042296,1.0,0.9997164841657398,0.9999290974320242
-0.7118058815999999,0.9963478096676738,1.0,0.9997315899044948,0.9999104040785498
-0.7011938043,0.9963843466767373,1.0,0.9997444297824368,0.9998911442598188
-0.690581727,0.9964213557401812,1.0,0.9997565143734408,0.99987084592145
-0.6799696497,0.9964582703927494,0.999999905589124,0.9997667107471008,0.9998502643504532
-0.6693575723999999,0.996494996223565,0.999999905589124,0.999776435066424,0.9998296827794562
-0.6587454951,0.996531155589124,0.999999905589124,0.9997856873314116,0.9998059856495468
-0.6481334178,0.9965660876132932,0.9999997167673716,0.9997947507746648,0.9997839879154078
-0.6375213405,0.9966013972809667,0.9999994335347432,0.9998023036440424,0.9997616125377644
-0.6269092632000001,0.9966372734138972,0.9999993391238672,0.9998102341568889,0.9997378209969788
-0.6162971858999999,0.996671827794562,0.9999993391238672,0.9998176926153992,0.9997152567975832
-0.6056851086,0.9967064765861028,0.9999991503021148,0.9998232628565652,0.9996907099697884
-0.5950730312999999,0.9967416918429004,0.9999990558912386,0.9998293995629344,0.999667579305136
-0.5844609540000001,0.9967756797583082,0.9999989614803624,0.9998355362693035,0.9996424660120846
-0.5738488767,0.9968097620845924,0.999997167673716,0.9998405400452662,0.9996187688821752
-0.5632367994,0.9968442220543808,0.999997167673716,0.999847337627706,0.9995945996978852
