### 0
1.001129299305756,1.0004508690321263,0.3608587338453937,0.11772322644144735
z_depth_cm,e_CCE_HV,h_CCE_HV,e_CCE_LV,h_CCE_LV
-0.804195,0.9959841389728096,1.0,0.9995416352396492,1.0
-0.7934831226,0.9960237915407856,1.0,0.9995777001909272,0.9999977341389727
-0.7827712452,0.996063821752266,1.0,0.9996086669553752,0.9999933912386708
-0.7720593678000001,0.9961032854984896,1.0,0.9996359516960016,0.99998583836858
-0.7613474904,0.9961428436555892,1.0,0.9996604041106114,0.9999740370090636
-0.750635613,0.9961809856495468,1.0,0.9996809856796652,0.9999591200906344
-0.7399237356,0.9962195052870092,1.0,0.9996989237444368,0.9999448640483384
-0.7292118582,0.9962575528700908,1.0,0.9997158232896692,0.999927586858006
-0.7184999808,0.99629541163142,1.0,0.9997291352219472,0.9999086102719036
-0.7077881034,0.9963329871601208,1.0,0.9997438633172336,0.9998894448640484
-0.697076226,0.9963704682779456,1.0,0.9997543429234949,0.9998687688821752
-0.6863643486,0.9964074773413898,0.999999905589124,0.9997659554601628,0.9998475264350454
-0.6756524712,0.9964437311178248,0.999999905589124,0.9997757741903536,0.9998248678247734
-0.6649405938,0.9964796072507552,0.999999905589124,0.9997852152770756,0.9998028700906344
-0.6542287164,0.9965160498489426,0.9999997167673716,0.9997933346116564,0.9997803058912388
-0.6435168389999999,0.9965526812688824,0.9999994335347432,0.9998013595353702,0.9997567031722056
-0.6328049616,0.9965890294561934,0.9999993391238672,0.999809950924287,0.9997341389728098
-0.6220930842,0.9966241503021148,0.9999993391238672,0.9998165596849924,0.9997093089123869
-0.6113812068,0.9966586102719034,0.9999991503021148,0.9998229796239634,0.9996857061933536
-0.6006693294,0.9966943919939578,0.9999990558912386,0.9998290219194654,0.9996611593655588
-0.5899574519999999,0.9967288519637464,0.9999981117824772,0.999834780982366,0.999636423716012
-0.5792455746,0.9967632175226586,0.999997167673716,0.9998393127039924,0.999612254531722
-0.5685336972,0.9967984327794562,0.999997167673716,0.9998452605886272,0.9995869524169184
-0.5578218198,0.9968317598187312,0.99999707326284,0.999849037023316,0.9995637273413898
-0.5471099424,0.996866597432024,0.99999707326284,0.9998547960862164,0.9995377643504532
-0.536398065,0.996900585347432,0.9999966012084592,0.9998583836991708,0.9995121790030213
-0.5256861876000001,0.99693334592145,0.999996506797583,0.9998640483512038,0.9994881042296072
-0.5149743102000001,0.9969677114803625,0.9999963179758308,0.9998674471424236,0.9994624244712992
-0.5042624328,0.996999905589124,0.9999962235649548,0.9998708459336436,0.9994376888217522
-0.49355055540000004,0.9970337990936556,0.999994240936556,0.9998763217639424,0.9994124811178248
-0.48283867799999997,0.9970662764350452,0.999994240936556,0.9998785876247556,0.9993869901812688
-0.4721268006,0.9970990370090635,0.9999941465256798,0.9998830249355152,0.9993619712990937
-0.4614149232,0.9971313255287008,0.9999936744712992,0.9998859516723988,0.99933666918429
-0.4507030458,0.9971632364048338,0.9999936744712992,0.9998890672310172,0.999311178247734
-0.4399911684,0.9971962802114804,0.9999933912386708,0.999892466022237,0.9992860649546828
-0.42927929099999995,0.9972278134441088,0.9999932024169184,0.9998953927591208,0.9992607628398792
-0.41856741359999994,0.9972587802114804,0.999991408610272,0.9998972809764652,0.9992351774924472
-0.4078555361999999,0.9972913519637462,0.999991408610272,0.999900302124216,0.9992100641993956
-0.3971436587999999,0.9973227907854983,0.9999908421450152,0.9999042673806396,0.999184667673716
-0.3864317814,0.9973532854984896,0.9999908421450152,0.9999052114893116,0.9991591767371604
-0.375719904,0.997385574018127,0.9999905589123866,0.9999081382261954,0.9991340634441088
-0.3650080266,0.997416163141994,0.9999904645015104,0.999910970552212,0.9991086669184291
-0.35429614919999997,0.9974465634441088,0.9999904645015104,0.9999138028782284,0.9990831759818732
-0.3435842718,0.9974770581570996,0.9999902756797584,0.9999147469869007,0.9990590067975832
-0.3328723944,0.9975090634441088,0.9999898980362538,0.9999175793129174,0.9990333270392748
-0.32216051700000004,0.9975393693353474,0.9999896148036254,0.999920411638934,0.9990073640483385
-0.3114486396,0.9975692031722057,0.9999876321752268,0.9999232439649504,0.9989838557401812
-0.3007367622,0.9975986593655588,0.9999876321752268,0.9999239992518882,0.9989579871601209
-0.29002488480000005,0.9976287764350452,0.9999870657099698,0.9999249433605604,0.9989323074018128
-0.2793130074,0.9976586102719034,0.9999867824773414,0.99992768127571,0.998908421450151
-0.26860112999999997,0.997689577039275,0.9999847998489426,0.9999305136017264,0.9988829305135952
-0.25788925259999995,0.9977184667673716,0.9999847054380664,0.999933345927743,0.9988583836858006
-0.2471773752,0.9977480173716012,0.9999841389728096,0.999933723571212,0.9988332703927492
-0.23646549779999998,0.99777709592145,0.9999838557401812,0.999936367075494,0.9988079682779456
-0.2257536204,0.9978059856495468,0.9999818731117824,0.9999372167732988,0.998784743202417
-0.215041743,0.9978355362537764,0.9999818731117824,0.9999399546884484,0.9987587802114803
-0.20432986560000002,0.9978641427492448,0.9999813066465256,0.9999423149601288,0.998734327794562
-0.1936179882,0.9978928436555892,0.9999810234138974,0.9999429758361996,0.9987095921450152
-0.18290611080000002,0.9979213557401811,0.9999809290030212,0.9999438255340044,0.9986842900302116
-0.17219423339999995,0.9979499622356496,0.9999804569486404,0.9999466578600208,0.9986610649546828
-0.16148235599999997,0.9979784743202416,0.999980079305136,0.9999489237208344,0.9986352907854984
-0.15077047859999998,0.9980067975830816,0.9999780966767372,0.9999495845969048,0.9986113104229608
-0.14005860119999997,0.9980352152567976,0.9999780966767372,0.9999523225120542,0.9985861971299094
-0.1293467238,0.9980635385196376,0.9999773413897282,0.9999525113337884,0.9985612726586104
-0.1186348464,0.9980912009063444,0.9999752643504533,0.9999533610315936,0.9985378587613294
-0.10792296900000001,0.998119240936556,0.9999751699395772,0.9999556268924068,0.998512839879154
-0.0972110916,0.9981474697885196,0.999974414652568,0.99995619335761,0.9984888595166164
-0.08649921420000002,0.998174754531722,0.9999724320241692,0.9999584592184234,0.998463840634441
-0.07578733680000002,0.9982028889728096,0.9999723376132932,0.999959120094494,0.9984387273413896
-0.06507545940000004,0.9982305513595164,0.999971582326284,0.999961763598776,0.9984150302114804
-0.05436358199999995,0.9982567975830816,0.999971487915408,0.9999619524205106,0.9983897280966768
-0.04365170459999996,0.9982837046827796,0.9999709214501512,0.9999627077074482,0.9983666918429004
-0.03293982719999997,0.998311083836858,0.9999705438066464,0.9999628965291828,0.9983416729607252
-0.02222794979999998,0.9983388406344412,0.9999686555891238,0.999965162389996,0.9983179758308158
-0.01151607239999998,0.9983659365558912,0.9999680891238673,0.9999658232660666,0.9982928625377644
-0.0008041949999999,0.9983929380664652,0.9999677114803625,0.9999679003051454,0.9982691654078548
0.00990768240000008,0.9984191842900302,0.9999656344410875,0.999968655592083,0.998244335347432
0.02061955980000007,0.9984451472809668,0.9999648791540786,0.9999706382202947,0.9982195996978852
0.03133143720000007,0.9984721487915408,0.9999628965256796,0.9999712990963652,0.9981962802114804
0.04204331460000006,0.9984990558912388,0.999962330060423,0.9999714879180998,0.9981711669184292
0.05275519200000005,0.9985256797583082,0.9999619524169184,0.9999717711507012,0.9981482250755288
0.06346706940000005,0.9985506986404832,0.9999613859516616,0.9999723376159048,0.9981233950151056
0.07417894680000003,0.9985770392749244,0.9999611027190332,0.9999744146549836,0.9980999811178248
0.08489082420000002,0.998603568731118,0.9999590256797584,0.999974603476718,0.9980748678247736
0.09560270160000002,0.998630003776435,0.9999582703927492,0.9999752643527884,0.9980517371601209
0.106314579,0.9986544561933536,0.9999561933534744,0.999977246981,0.998027001510574
0.1170264564,0.9986807968277944,0.9999553436555892,0.999977624624469,0.9980033043806648
0.1277383338,0.9987065709969788,0.9999533610271902,0.9999780966788052,0.9979792296072508
0.13845021119999998,0.9987316842900302,0.9999525113293052,0.999980173717884,0.9979555324773414
0.14916208859999996,0.998757175226586,0.9999522280966768,0.9999804569504857,0.9979316465256798
0.15987396599999998,0.9987825717522658,0.9999513783987916,0.999981023415689,0.997907666163142
0.17058584339999996,0.9988073074018128,0.9999490181268884,0.999981117826556,0.9978834025679758
0.18129772079999995,0.9988329871601208,0.999946752265861,0.9999813066482904,0.997859327794562
0.1920095981999999,0.9988582892749246,0.9999459025679758,0.9999817787026268,0.9978358194864048
0.20272147559999992,0.9988816087613294,0.999943825528701,0.999981967524361,0.9978113670694864
0.21343335299999994,0.998907571752266,0.9999429758308158,0.99998404456344,0.9977881419939576
0.22414523039999992,0.9989320241691844,0.9999424093655588,0.9999846110286432,0.9977638783987915
0.23485710780000008,0.998956665407855,0.9999401435045318,0.9999847998503776,0.9977407477341388
0.2455689852000001,0.9989819675226588,0.9999392938066464,0.9999867824785892,0.9977166729607252
0.25628086260000005,0.999004909365559,0.9999369335347432,0.9999869713003235,0.9976935422960724
0.26699274000000006,0.9990301170694864,0.9999343844410876,0.9999874433546598,0.9976700339879154
0.2777046174000001,0.999054003021148,0.9999335347432023,0.9999876321763944,0.9976466200906344
0.28841649480000003,0.9990786442598188,0.9999328738670696,0.9999893315720042,0.9976231117824774
0.29912837220000005,0.9991024358006044,0.9999306080060424,0.9999898036263404,0.9975992258308156
0.3098402496,0.999126510574018,0.999929758308157,0.9999898036263404,0.9975757175226586
0.320552127,0.999151246223565,0.9999271148036256,0.9999903700915436,0.997551925981873
0.33126400440000003,0.9991744712990936,0.999924848942598,0.999990558913278,0.9975290785498488
0.3419758818,0.9991992069486404,0.999923999244713,0.999990558913278,0.9975046261329304
0.3526877592,0.9992218655589123,0.9999230551359516,0.9999907477350124,0.9974820619335348
0.36339963659999996,0.9992459403323264,0.999920506042296,0.9999907477350124,0.997458175981873
0.374111514,0.9992689765861028,0.9999181457703928,0.9999913142002156,0.9974355173716012
0.3848233914,0.9992922960725076,0.9999154078549848,0.999991408611083,0.9974108761329306
0.3955352688,0.999316087613293,0.9999144637462236,0.9999915030219504,0.9973881231117826
0.40624714619999996,0.9993383685800604,0.9999136140483385,0.9999933912392946,0.9973638595166162
0.4169590235999999,0.999362160120846,0.9999110649546828,0.9999935800610292,0.9973412953172204
0.42767090099999994,0.9993847243202416,0.9999086102719036,0.9999935800610292,0.9973170317220544
0.43838277839999995,0.9994088935045315,0.9999057779456194,0.9999941465262324,0.9972944675226588
0.4490946557999999,0.9994307024169184,0.999904928247734,0.9999942409370997,0.9972715256797584
0.4598065332000001,0.9994528889728096,0.99990209592145,0.9999943353479668,0.9972477341389728
0.4705184106000001,0.9994760196374624,0.9998994524169184,0.9999950906349048,0.9972252643504532
0.48123028800000006,0.9994980173716012,0.999896336858006,0.9999963179761784,0.9972014728096676
0.4919421654000001,0.9995202039274924,0.9998953927492448,0.9999964123870456,0.997179003021148
0.5026540428,0.999542579305136,0.9998924660120848,0.9999965067979129,0.9971543617824774
0.5133659202,0.9995642938066466,0.9998890672205438,0.999996978852249,0.9971319864048338
0.5240777976000001,0.9995849697885196,0.9998860460725076,0.999996978852249,0.9971076283987916
0.5347896750000001,0.9996083836858006,0.9998850075528702,0.999996978852249,0.997085253021148
0.5455015524,0.9996286820241692,0.9998813255287008,0.9999971676739834,0.9970625
0.5562134298,0.9996499244712992,0.9998767938066464,0.9999971676739834,0.9970388972809668
0.5669253072,0.9996700339879157,0.9998755664652568,0.9999990558913278,0.9970172771903324
0.5776371846,0.9996922205438066,0.9998704682779456,0.999999150302195,0.996992824773414
0.588349062,0.999713085347432,0.9998669750755288,0.999999150302195,0.9969704493957704
0.5990609393999999,0.9997326283987916,0.9998634818731118,0.9999992447130622,0.9969461858006042
0.6097728168,0.9997530211480362,0.9998584780966768,0.9999992447130622,0.996923999244713
0.6204846942,0.9997722809667674,0.9998564010574016,0.9999993391239296,0.9969012462235648
0.6311965716,0.9997922016616316,0.99985083081571,0.9999994335347968,0.9968781155589124
0.641908449,0.999811178247734,0.9998470543806648,0.9999998111782656,0.996855834592145
0.6526203263999999,0.9998299660120846,0.9998411064954684,0.9999998111782656,0.9968314765861028
0.6633322037999999,0.999848092900302,0.9998364803625378,0.9999998111782656,0.9968091956193352
0.6740440811999999,0.9998656533232628,0.9998290219033232,0.9999998111782656,0.996785592900302
0.6847559586,0.9998838746223564,0.999825151057402,1.0,0.9967632175226586
0.6954678360000001,0.999900585347432,0.9998183534743204,1.0,0.9967411253776436
0.7061797134000001,0.9999159743202416,0.9998098564954684,1.0,0.9967172394259818
0.7168915908000001,0.9999316465256798,0.999801831570997,1.0,0.9966950528700906
0.7276034682000001,0.9999448640483384,0.9997935234138972,1.0,0.9966710725075528
0.7383153456,0.999959497734139,0.999784082326284,1.0,0.9966489803625376
0.749027223,0.999970071752266,0.9997729418429002,1.0,0.9966268882175228
0.7597391004,0.9999811178247736,0.9997615181268882,1.0,0.9966031910876132
0.7704509778,0.9999886706948642,0.9997487726586104,1.0,0.9965810989425982
0.7811628552000001,0.9999966012084592,0.99973291163142,1.0,0.9965574018126888
0.7918747326,0.9999981117824772,0.9997146903323264,1.0,0.9965351208459216
0.8025866100000002,1.0,0.9996950528700906,1.0,0.9965135951661632
