### 0
1.0005395024292834,1.000228766953486,1.5510370448930642e-14,0.019168117201857484
z_depth_cm,e_CCE_HV,h_CCE_HV,e_CCE_LV,h_CCE_LV
-0.783216,0.9956788141993956,0.9999999055891328,0.999478285547745,1.0
-0.77278356288,0.9957249811178248,1.0,0.99951954309672,0.9999976397280969
-0.76235112576,0.9957695430513596,0.9999999055891328,0.9995556080479976,0.9999932968277946
-0.75191868864,0.9958144826283988,1.0,0.999587046866782,0.9999840445619336
-0.74148625152,0.9958589501510576,0.9999999055891328,0.9996148036617444,0.9999732817220544
-0.7310538144,0.9959030400302116,1.0,0.9996396337198232,0.9999577983383686
-0.72062137728,0.9959467522658612,1.0,0.9996597432345408,0.9999397658610272
-0.71018894016,0.9959911253776436,1.0,0.9996785309971176,0.9999215445619336
-0.6997565030399999,0.9960333270392748,1.0,0.9996964690618892,0.9999016238670696
-0.68932406592,0.9960768504531722,0.9999999055891328,0.9997102530485034,0.9998814199395772
-0.6788916288,0.9961175415407856,0.9999999055891328,0.9997253587872584,0.9998596110271905
-0.66845919168,0.9961595543806646,0.9999998111782656,0.9997375377891295,0.9998371412386706
-0.65802675456,0.9962012839879156,0.9999998111782656,0.9997482062171256,0.9998134441087612
-0.6475943174400001,0.9962423527190332,0.9999998111782656,0.999760007575528,0.9997899358006042
-0.6371618803200001,0.9962829493957704,0.9999993391239296,0.9997704871817892,0.999765577794562
-0.6267294432,0.9963241125377644,0.9999992447130622,0.9997789841598392,0.99973999244713
-0.61629700608,0.996363670694864,0.9999992447130622,0.9997869146726855,0.9997161064954684
-0.6058645689600001,0.9964031344410876,0.9999990558913278,0.9997950340072664,0.9996898602719032
-0.59543213184,0.9964419373111782,0.9999989614804604,0.999802586876644,0.9996638972809668
-0.58499969472,0.9964818731117826,0.9999980173717884,0.9998102341568889,0.9996398225075528
-0.5745672576,0.9965203927492448,0.9999971676739834,0.9998166540958596,0.9996134818731118
-0.56413482048,0.9965593844410876,0.9999971676739834,0.999823168445698,0.999586763595166
-0.55370238336,0.9965974320241692,0.9999970732631162,0.9998292107412,0.9995611782477342
-0.54326994624,0.9966354796072509,0.999996978852249,0.999834780982366,0.9995354040785498
-0.5328375091199999,0.9966730551359516,0.9999965067979129,0.9998393127039924,0.9995083081570996
-0.522405072,0.9967099697885196,0.9999964123870456,0.9998450717668927,0.9994819675226588
-0.51197263488,0.9967469788519636,0.9999963179761784,0.9998488482015816,0.9994547771903324
-0.50154019776,0.9967836102719034,0.9999962235653111,0.9998545128536148,0.999429663897281
-0.49110776064,0.9968202416918428,0.9999942409370997,0.9998582892883034,0.9994028512084592
-0.48067532352000003,0.9968573451661632,0.9999941465262324,0.9998639539403366,0.9993760385196374
-0.4702428864,0.9968935989425982,0.9999940521153652,0.9998672583206892,0.9993492258308158
-0.45981044928000003,0.9969288141993956,0.9999935800610292,0.9998706571119091,0.9993229796072508
-0.44937801216000006,0.9969640294561934,0.9999933912392946,0.9998759441204736,0.999296827794562
-0.43894557504,0.996999905589124,0.9999933912392946,0.999877454694349,0.9992700151057402
-0.42851313792,0.9970359705438068,0.999991408611083,0.999882647292046,0.9992431080060424
