00010	86.000000	172.965622	45.646080	0.144989	0.423396	460.780853
00011	82.000000	146.186508	42.771297	0.289502	0.352733	444.719727
00020	85.000000	163.032059	66.319061	0.123877	0.437233	458.834839
00021	80.000000	156.345673	49.512333	0.497689	0.250443	435.973114
00030	87.000000	175.525467	57.438354	0.205872	0.394368	461.996826
00031	86.000000	166.890121	74.351868	0.250658	0.376788	461.294952
00040	81.000000	165.293625	67.501579	0.013630	0.490227	460.669891
00041	82.000000	174.029831	60.138680	0.333705	0.332756	455.573303
00050	83.000000	173.643204	70.639847	0.083764	0.454665	466.278320
00051	83.000000	111.787460	61.604706	0.000000	0.499173	442.125824
00060	81.000000	167.185699	63.435200	0.107685	0.442478	460.820129
00061	81.000000	143.668808	51.128464	0.434813	0.281960	438.271393
00070	79.000000	167.053955	57.430843	0.232198	0.381365	453.156403
00071	83.000000	169.302444	64.018448	0.194600	0.403017	458.138885
00080	84.000000	177.033340	61.746120	0.121329	0.436680	463.319763
00081	89.000000	178.878891	53.754173	0.334161	0.332490	459.859711
00090	82.000000	172.572037	74.330193	0.132910	0.431870	466.033295
00091	81.000000	117.730057	63.205524	0.098515	0.449864	446.359802
00100	81.000000	177.024506	72.559418	0.080147	0.458282	464.514801
00101	82.000000	144.672882	58.074448	0.311722	0.344087	446.733551
00110	85.000000	206.068710	61.903145	0.289554	0.351924	477.408997
00111	81.000000	157.157394	71.707611	0.124666	0.438999	454.183472
00120	82.000000	173.542068	70.732658	0.107670	0.443622	458.378265
00121	80.000000	165.950394	60.064617	0.294100	0.353062	450.561371
00130	83.000000	162.049194	65.529884	0.124070	0.435680	458.802185
00131	85.000000	158.714218	66.250862	0.438721	0.281086	454.348358
00140	79.000000	183.926941	63.464054	0.197065	0.398040	464.362000
00141	82.000000	125.146324	55.215523	0.270056	0.363925	440.214203
00150	76.000000	151.267548	91.986168	0.000023	0.508273	454.480255
00151	80.000000	156.669220	63.874992	0.100275	0.450087	452.573547
00160	84.000000	190.042114	56.149456	0.289096	0.352897	464.370941
00161	79.000000	161.838943	57.041264	0.319425	0.339975	445.537262
00170	82.000000	174.527863	61.810902	0.186161	0.404501	458.447540
00171	85.000000	129.883118	60.268425	0.225410	0.387016	445.861755
00180	84.000000	164.171646	75.443214	0.000003	0.499196	465.007080
00181	83.000000	161.606781	58.895420	0.173120	0.413937	452.547119
00190	84.000000	173.594345	59.620686	0.196822	0.398993	457.425507
00191	80.000000	118.491531	71.679062	0.001699	0.499066	445.767181
00200	77.000000	173.306442	64.002686	0.226022	0.384253	456.446259
00201	77.000000	123.876343	57.882832	0.270191	0.364480	439.941559
00210	87.000000	177.305573	68.511879	0.087666	0.455077	468.690338
00211	81.000000	175.974152	50.497002	0.335771	0.331323	451.159607
00220	82.000000	156.703384	74.404213	0.000000	0.498853	461.264923
00221	83.000000	134.302689	53.420761	0.308573	0.344365	442.898895
00230	88.000000	179.413788	65.877869	0.156349	0.420241	466.711487
00231	81.000000	172.151428	52.452251	0.341022	0.329176	448.231628
00240	83.000000	177.609177	71.309441	0.120843	0.437375	465.959015
00241	79.000000	186.067261	55.723034	0.341709	0.329320	453.415222
00250	83.000000	177.786179	65.899956	0.194648	0.400633	463.129059
00251	84.000000	151.295227	58.701530	0.308715	0.344677	450.439087
00260	85.000000	198.697617	77.230103	0.120472	0.438371	481.007599
00261	85.000000	140.395874	62.869923	0.325825	0.337345	447.829620
00270	83.000000	169.581909	57.770531	0.269361	0.362877	455.278687
00271	82.000000	164.480270	55.944603	0.327271	0.336514	450.907135
00280	85.000000	168.732498	62.589993	0.077277	0.458139	461.313629
00281	83.000000	169.716385	50.469101	0.354198	0.321660	450.687469
00290	87.000000	188.862045	66.608971	0.190409	0.400669	471.403534
00291	86.000000	115.487129	75.159706	0.051720	0.474217	453.059998
00300	80.000000	188.456177	64.514259	0.222516	0.387123	465.914337
00301	77.000000	142.942688	55.828491	0.461334	0.269183	437.633759
00310	79.000000	179.531815	52.147339	0.311310	0.340376	454.004974
00311	81.000000	174.322357	50.188622	0.346656	0.325017	451.598175
00320	82.000000	190.582626	69.366142	0.234946	0.380519	465.130035
00321	84.000000	176.205582	52.807739	0.348314	0.324918	452.622467
00330	80.000000	164.293503	70.076729	0.048559	0.474226	461.630707
00331	83.000000	120.011086	58.290527	0.247775	0.375670	442.112030
00340	82.000000	184.886749	57.397213	0.277256	0.358766	459.560944
00341	86.000000	150.849258	48.044975	0.388940	0.304260	449.170105
00350	83.000000	172.597672	65.461357	0.000001	0.497192	462.278229
00351	79.000000	193.014572	45.793625	0.440348	0.277892	450.420258
00360	83.000000	182.135880	53.117107	0.262754	0.365434	458.758057
00361	85.000000	180.000793	47.206902	0.383731	0.307271	452.319855
00370	79.000000	168.311264	50.156315	0.048864	0.472273	456.163818
00371	80.000000	145.192047	58.328167	0.239143	0.379911	450.270142
01010	81.000000	173.624603	58.097832	0.128685	0.434633	460.829956
01011	82.000000	151.967972	45.354710	0.225773	0.386036	437.188965
01020	83.000000	185.211807	74.858047	0.188730	0.406185	465.718994
01021	82.000000	162.438217	53.035400	0.291995	0.354681	445.737274
01030	83.000000	176.923096	63.404621	0.181042	0.406817	462.237244
01031	82.000000	148.969589	43.928314	0.336688	0.331391	438.931427
01040	83.000000	181.700867	63.847870	0.249796	0.372102	466.507660
01041	83.000000	154.987213	77.976921	0.000000	0.501880	459.855927
01050	81.000000	176.510544	80.253288	0.075175	0.461347	470.647339
01051	83.000000	161.022751	44.741364	0.353046	0.323019	445.571442
