+, 0,  -1.1975,  24.8823
+, 1,   1.0252,   2.2092
+, 2,   0.5027,   0.9418
+, 3,   0.4804,   0.6350
-, 0,  -1.8086,  24.8329
-, 1,  -0.9028,   5.2213
-, 2,  -1.1161,   3.0813
-, 3,  -1.0102,   2.1492
