STRIP_ID,Detector,Side,Strip,TAC_calibration,TAC_calibration_error,TAC_offset,TAC_offset_error
64,0,0,32,0.4544161627540508,0.000669765576238,-640.6919017440235,6.66038158728531
65,0,0,33,0.4529801181449241,0.0008103939410522,-599.8315264717418,8.012970611348408
66,0,0,34,0.4797100193929808,0.0008536999151143,-708.8842364867372,8.160485637171472
67,0,0,35,0.4524909313782762,0.0006518120427175,-524.0423749316215,6.345327843789577
68,0,0,36,0.4628792166843765,0.0005407922253818,-524.9979172665963,5.147499019521463
69,0,0,37,0.4588978369231921,0.0004922444604146,-498.1218397824889,4.697918367997685
70,0,0,38,0.4620542483486384,0.0005047412275562,-537.2568735696016,4.825998148566421
71,0,0,39,0.4621789438132998,0.0005454501420012,-548.1180132519252,5.22633482103812
72,0,0,40,0.4719488229898284,0.000765784808966,-583.6763471796263,7.241953629548925
73,0,0,41,0.4571375795181697,0.0008025149072588,-616.5875901998028,7.891633232350012
74,0,0,42,0.4664240391798976,0.0009827994352642,-684.5382384849328,9.61198778961566
75,0,0,43,0.4541086170565394,0.0012480625766319,-681.5526384345519,12.529329692632151
76,0,0,44,0.4712224433537735,0.0006649550617348,-648.871120324752,6.387984824000401
77,0,0,45,0.4626643423784101,0.0007825407573943,-579.0531559670751,7.541283863905752
78,0,0,46,0.4673476815997593,0.0005047795076327,-562.4780991688423,4.798291966847128
79,0,0,47,0.4607918432350524,0.0008599901155909,-631.1833656165426,8.416370878700517
80,0,0,48,0.4609267039208258,0.0002992945490049,-515.4227498430481,2.8548177527656224
81,0,0,49,0.4577939226211608,0.0009958952143894,-640.54987915187,9.830153365295352
82,0,0,50,0.4480665824503279,0.0005969047079721,-532.9949241460457,5.8798282367753885
83,0,0,51,0.4546639841715456,0.0003933501717811,-528.9940572407922,3.815105871721285
84,0,0,52,0.4619068267951774,0.0008368885549818,-649.4968175737281,8.202937956642513
85,0,0,53,0.4541434682093698,0.000549592447304,-535.5744832271293,5.344382771954296
86,0,0,54,0.4552942710693787,0.0006260671162364,-554.0596095140138,6.097467524299305
87,0,0,55,0.4587937685747585,0.0006308355113974,-619.9196179847934,6.185484550840736
88,0,0,56,0.461878629847603,0.0006866850480332,-608.343814182746,6.671319322327292
89,0,0,57,0.4572784818641509,0.0004885594092489,-520.137945097588,4.702213628347175
90,0,0,58,0.4728349280823576,0.0005554687836557,-563.705696714506,5.220262093772185
91,0,0,59,0.4617012675202862,0.0007743143603985,-617.3318792306417,7.540275299984472
92,0,0,60,0.4650543130189757,0.0006278518250398,-572.3513646185892,6.01062925861411
93,0,0,61,0.4628551144874021,0.0004844155312987,-539.2270122343838,4.625656063697527
94,0,0,62,0.4564654115187146,0.0007360210687776,-561.5784785236373,7.161788871121006
