STRIP_ID,Detector,Side,Strip,TAC_calibration,TAC_calibration_error,TAC_offset,TAC_offset_error
64,0,0,32,0.4416730157664095,0.000977246130084,-529.8479411678896,9.758945217436487
65,0,0,33,0.4584783663741638,0.0004077799111913,-524.4016429474383,3.918168770315766
66,0,0,34,0.4486298562582305,0.0006481306547745,-497.5311469673826,6.32641762326194
67,0,0,35,0.454715011280721,0.0011717292420094,-623.237578516015,11.600476173204251
68,0,0,36,0.452151216994053,0.0010796765171539,-628.4402663289368,10.761874077912664
69,0,0,37,0.4388834916244019,0.0010194733565186,-571.1413427293988,10.338981233360393
70,0,0,38,0.4416092055672857,0.000752217603055,-552.923430519449,7.551226389534233
71,0,0,39,0.4503802720094446,0.0007254192701459,-520.0144723329789,7.088650229304555
72,0,0,40,0.4468025908763527,0.0007699936716755,-491.1644071006535,7.535957682760933
73,0,0,41,0.4484309881935227,0.0012381018646144,-635.3195465235694,12.461947094646757
74,0,0,42,0.453116480238329,0.0005850069799863,-502.5452705573103,5.660041070572087
75,0,0,43,0.4578737295303358,0.0012569038002819,-664.03926107948,12.467334652554849
76,0,0,44,0.4499786571368489,0.0006926641258834,-520.7291550754193,6.775688384864058
77,0,0,45,0.445992581226894,0.000922097406493,-594.0737719563699,9.24868548104506
78,0,0,46,0.4500869588770871,0.0007372647770984,-566.5209612214044,7.283460969605473
79,0,0,47,0.4452572225396103,0.0005038561882911,-487.7279047877937,4.944581578822393
80,0,0,48,0.4560373641556218,0.0011228660293567,-647.1662574850602,11.142050344773134
81,0,0,49,0.4521186393138068,0.0009707841608168,-590.7695574236699,9.598153386686176
82,0,0,50,0.4448968366999783,0.0006040308166797,-493.4883909358701,5.940074609748179
83,0,0,51,0.4513259753450265,0.0008973843148146,-619.2007536370597,8.943250652981611
84,0,0,52,0.4431317643770344,0.0006320983660748,-562.1007009837899,6.336373830990198
85,0,0,53,0.4546300668604106,0.0009117257542155,-624.6738165621848,9.030864101491222
86,0,0,54,0.4503748583015114,0.0012775268242547,-645.3571163295635,12.831095713217747
87,0,0,55,0.4497068362538047,0.0005321048130768,-479.0301133429551,5.16009241144883
88,0,0,56,0.4393029299238338,0.0007982636863288,-502.18012329970793,7.965542077280205
89,0,0,57,0.4455569952288276,0.0009880431537343,-616.3587248938835,9.968084670178715
90,0,0,58,0.4464695348585982,0.0004161072119997,-478.3836422793071,4.063875575461008
91,0,0,59,0.4506402364904318,0.0008100172459665,-585.1505652550247,8.025059439987743
92,0,0,60,0.4573203894963369,0.0005948460486459,-528.7824055767747,5.735634333256343
93,0,0,61,0.4360092204366598,0.0006738479144605,-494.2818746618378,6.762934219070815
94,0,0,62,0.4440329520072538,0.0007900919378428,-501.5713396054613,7.798959092040664
95,0,0,63,0.4448135304599668,0.0006062053083125,-524.8356143728544,6.004262016718057
96,0,0,0,0.4349681198819842,0.0009670269653705,-609.7305764286855,9.979164870850353
97,0,0,1,0.4232140744418112,0.0006862509259424,-493.5440410718513,7.094476194356614
