#STRIP_ID,Detector,Side,Strip,TAC_calibration,TAC_calibration_error,TAC_offset,TAC_offset_error
64,0,0,32,0.4421181954920004,0.0010844523707454,-527.4489670742735,10.812876638654732
65,0,0,33,0.4595615786525812,0.0005141638468306,-525.2118783044218,4.929602752918972
66,0,0,34,0.4496105671827233,0.0005691933756877,-499.76845289262326,5.54655390657844
67,0,0,35,0.4557041314187691,0.0011589107832633,-627.0452483199975,11.458126629385871
68,0,0,36,0.4531374055348456,0.0012313620827602,-632.271802664982,12.257287723912718
69,0,0,37,0.4399812239803106,0.0009203780786607,-576.2359276224315,9.321126286350976
70,0,0,38,0.4427372558899349,0.0006488175336778,-556.7359444283671,6.502092206608875
71,0,0,39,0.4513902707054456,0.0007235743351086,-517.189247074021,7.050381534675465
72,0,0,40,0.4476505540100783,0.0006667533132535,-488.53942887643984,6.509365229607835
73,0,0,41,0.4494352123322044,0.0011785987792431,-637.4256982667481,11.841917140040309
74,0,0,42,0.4542961961506071,0.0006405639723879,-502.9144791889804,6.181978357528178
75,0,0,43,0.4590978388676544,0.0013267634734329,-667.6767565906267,13.135463152507558
76,0,0,44,0.4512723713346001,0.0008043629254475,-523.569273837152,7.850716912166835
77,0,0,45,0.447186512090283,0.0009782437003511,-597.1875612927786,9.792292117777782
78,0,0,46,0.4518220730648405,0.0008689950875252,-573.2346456374885,8.564468632376615
79,0,0,47,0.4465900715705816,0.0005634378398915,-488.5247391133778,5.513763311250333
80,0,0,48,0.4575412935856381,0.0013154538070757,-652.8759276010607,13.026209063632436
81,0,0,49,0.4531843152538866,0.0008971850540509,-593.6666499501742,8.855221024533073
82,0,0,50,0.4462678233225111,0.000613720457612,-495.5436695462279,6.019579368141086
83,0,0,51,0.4526465786459341,0.0012082077937788,-623.9885452596266,12.018243387447573
84,0,0,52,0.4446699246288535,0.000753346889158,-567.5838995945778,7.534758535024056
85,0,0,53,0.4559407055409836,0.000995920397725,-626.4208234818699,9.84020311959342
86,0,0,54,0.4517536407257509,0.0013957937280193,-653.724293538407,14.001409562387394
87,0,0,55,0.4512788264754386,0.0006715498882189,-482.8050293318808,6.4951568459448925
88,0,0,56,0.4405420863936162,0.0007911788406199,-504.68622134228985,7.87703028596823
89,0,0,57,0.4470505428409937,0.0010526316310218,-622.5600289463632,10.5984849254373
90,0,0,58,0.4478908966450929,0.000515137674746,-482.6462034942599,5.019864554065736
91,0,0,59,0.4522305949204422,0.0008793968888159,-590.5675064400467,8.692070586474705
92,0,0,60,0.4587257358949697,0.0006405471768845,-531.3276543397636,6.160841672497866
93,0,0,61,0.4368832057264826,0.000869620983233,-495.9628548050089,8.713573772976746
94,0,0,62,0.4451039484862062,0.0007697618074333,-502.59970291132703,7.581733921697562
95,0,0,63,0.4461718225097706,0.0010208038076391,-527.5544721805854,10.08601145424694
96,0,0,0,0.4354455620375386,0.0009210420016468,-606.4475029212344,9.487421846052245
97,0,0,1,0.4237009763191943,0.0005375292088732,-491.0352919448404,5.547497303310631
98,0,0,2,0.4374671476222298,0.0013844681231668,-646.9095185582152,14.320261864351597
99,0,0,3,0.4427103963776523,0.0006671280494419,-566.142258350464,6.699835068325559
100,0,0,4,0.4284927790646589,0.001081833077109,-616.2755886278094,11.348747776504014
101,0,0,5,0.4275755234950559,0.0008731565591289,-534.0011070999466,9.01525570920633
102,0,0,6,0.4253918914800554,0.0008231102398366,-507.08729508904975,8.491334775443699
103,0,0,7,0.4288927157495579,0.0007684040088801,-522.8440020356147,7.889821348484498
104,0,0,8,0.4248552911117099,0.0012715319465904,-619.601030309835,13.462668756129847
105,0,0,9,0.4258076907701537,0.0006934400371233,-483.8781822424003,7.109775279919674
106,0,0,10,0.4278165054400598,0.0011746679967811,-610.8514166086985,12.327542660260928
107,0,0,11,0.4254116278861277,0.0009036423828866,-521.8839648225998,9.352355732831423
108,0,0,12,0.4296155306581475,0.0005712419815803,-508.9300029824376,5.837478049417625
109,0,0,13,0.4286516064806109,0.0009037951921828,-535.9447758293737,9.312170607883958
110,0,0,14,0.4310379638027707,0.0009165681469631,-597.4310174790907,9.51915305136535
111,0,0,15,0.4311287697204524,0.0014709498358021,-631.1028030628721,15.385772415721068
112,0,0,16,0.4375620204767847,0.0016463030074999,-687.9163373455824,17.17566255623564
113,0,0,17,0.4281213100243116,0.0010542503975304,-531.6705345751013,10.865552549692444
114,0,0,18,0.4347471293705178,0.0007650167606539,-539.3111660474925,7.77754627339586
115,0,0,19,0.4286098676222896,0.0012861498961484,-581.2605594452393,13.385776475565333
116,0,0,20,0.4335293645993897,0.0008427318609202,-520.7108687817858,8.556413194049577
117,0,0,21,0.4290036745536497,0.0011258205920323,-580.3541894237743,11.704050404241183
118,0,0,22,0.4365150907319342,0.000814334492316,-522.2139668519059,8.21427310396709
