# A_HV,A_LV,B,C 
1.0009264205609762,1.00084829470918,1.288689028046797,0.3010529785474152
# z_depth_cm,e_CCE_HV,h_CCE_HV,e_CCE_LV,h_CCE_LV
-0.75,0.9960754005722672,1.0,0.9995680702824706,1.0
-0.74,0.9961283655288202,1.0,0.9995997923338564,0.9999868765995326
-0.73,0.9961799143100644,1.0,0.9996279267722878,0.9999704487457096
-0.72,0.9962307077978106,1.0,0.999652945652101,0.999951566155109
-0.71,0.9962799906985604,1.0,0.9996737160428892,0.9999320226738372
-0.7,0.9963278574240018,1.0,0.9996934479141384,0.9999112518241762
-0.6900000000000001,0.9963751576793192,1.0,0.9997102530485034,0.9998898200838444
-0.6799999999999999,0.9964219858762003,0.999999905589124,0.9997259252524616,0.9998655559549224
-0.67,0.996467775544522,0.999999905589124,0.9997390483630052,0.9998428024332484
-0.6599999999999999,0.9965127155076576,0.999999905589124,0.9997533988148228,0.9998179718266084
-0.65,0.996555200766925,0.9999994335347432,0.9997637840102168,0.9997949350660752
-0.64,0.9965989133781268,0.9999994335347432,0.9997751133142831,0.9997692547428584
-0.63,0.9966405489322088,0.9999993391238672,0.999784932044474,0.9997448962009834
-0.62,0.9966822788979778,0.9999991503021148,0.9997933346116564,0.9997195935295784
-0.61,0.9967226871001252,0.9999991503021148,0.9998014539462374,0.9996941020322672
-0.6,0.9967628120672112,0.9999990558912386,0.9998102341568889,0.99966936583858
-0.5900000000000001,0.9968020873291114,0.999997167673716,0.9998177870262664,0.9996436855153632
-0.58,0.9968404184741392,0.999997167673716,0.9998235460891668,0.999618099605099
-0.5700000000000001,0.9968790328542289,0.999997167673716,0.9998298716172704,0.9995930801725528
-0.5599999999999999,0.9969165142940712,0.99999707326284,0.9998377077192496,0.999567588675242
-0.55,0.996954184557288,0.99999707326284,0.999842239440876,0.9995420027649778
-0.54,0.996991477173756,0.9999966012084592,0.999848187325511,0.9995169833324316
-0.53,0.9970278256733512,0.999996506797583,0.9998520581710671,0.9994913974221676
-0.52,0.9970642685846338,0.9999963179758308,0.9998577228231004,0.9994659059248566
-0.51,0.997099484143982,0.9999962235649548,0.9998614992577888,0.9994411697311696
-0.5,0.997133944409832,0.999994240936556,0.9998669750880878,0.9994155838209052
-0.49000000000000005,0.9971688767341186,0.999994240936556,0.9998706571119091,0.9993901867365474
-0.48,0.9972029593532196,0.9999941465256798,0.9998763217639424,0.9993659226076254
-0.47000000000000003,0.9972367587372588,0.9999936744712992,0.9998783988030212,0.9993401478714552
-0.45999999999999996,0.99727084135636,0.9999936744712992,0.9998830249355152,0.9993145619611912
-0.45,0.99730322456509,0.9999933912386708,0.999886046083266,0.9992912419617992
-0.44000000000000006,0.9973361742439442,0.9999932968277946,0.9998896336962204,0.9992652783997232
-0.43,0.9973690295111108,0.999991408610272,0.9998926548439714,0.99924129750966
-0.42000000000000004,0.9974000909562196,0.999991408610272,0.9998956759917224,0.9992161836641612
-0.41,0.9974331350467608,0.9999913141993956,0.9998986971394734,0.999191069818662
-0.4,0.997464385315244,0.9999908421450152,0.999902001519826,0.999167938645176
-0.39,0.9974948802902291,0.9999905589123866,0.99990492825671,0.999142447147865
-0.38,0.9975268858522104,0.9999905589123866,0.9999059667762494,0.999118843909614
-0.37,0.9975576640622574,0.9999904645015104,0.999908799102266,0.999093918890021
-0.36,0.9975877813904936,0.9999903700906344,0.9999116314282824,0.999069843587005
-0.35,0.997617332248606,0.9999898980362538,0.9999145581651664,0.999045296219224
-0.33999999999999997,0.997646977518406,0.9999896148036254,0.9999155022738384,0.9990207488514428
-0.32999999999999996,0.997677566905078,0.9999896148036254,0.9999183345998552,0.9989975232650038
-0.32,0.9977074009982526,0.9999876321752268,0.9999211669258716,0.9989727870713168
-0.31,0.9977362909745544,0.9999876321752268,0.9999239992518882,0.99894993913669
-0.3,0.9977654641859178,0.9999870657099698,0.999924754538826,0.9989252029430028
-0.29,0.9977938821037832,0.9999867824773414,0.9999273036322408,0.998902543834282
-0.27999999999999997,0.997822394433336,0.9999867824773414,0.9999299471365232,0.998878090879454
-0.27,0.997850717939514,0.9999847054380664,0.9999326850516724,0.9988551485318738
-0.26,0.997878947034005,0.9999841389728096,0.9999335347494774,0.9988315452936228
-0.25,0.997907176128496,0.9999838557401812,0.9999343844472824,0.99880850853309
-0.24,0.9979341778710524,0.9999838557401812,0.9999371223624318,0.998785377359604
-0.22999999999999998,0.9979613684369836,0.9999818731117824,0.9999394826341124,0.9987617741213528
