### 0
# A_HV, A_LV, B, C 
1.0014447484216775,1.0004594879304816,0.44135751131238593,1.1855504424123018  
# z_depth_cm, e_CCE_HV, h_CCE_HV, e_CCE_LV, h_CCE_LV
-0.0783585,0.9962474509063444,1.0,0.9995590068392176,1.0
-0.07731476478,0.9962856873111782,1.0,0.9995944109144248,0.999998203539368
-0.07627102956,0.9963240181268882,1.0,0.9996246223919352,0.9999962179776164
-0.07522729434,0.9963619712990937,1.0,0.9996512462564912,0.9999936651125076
-0.07418355912,0.9963996412386706,0.9999990558669936,0.9996728663450845,0.9999905449440412
-0.0731398239,0.996437405589124,0.9999981117339872,0.9996939199684745,0.9999888430339686
-0.07209608868,0.9964742258308158,0.9999981117339872,0.9997108195137068,0.9999869520227768
-0.07105235346,0.9965102907854984,0.9999981117339872,0.9997277190589388,0.9999843046071084
-0.07000861824,0.9965459780966768,0.9999981117339872,0.9997424471542252,0.9999813735397612
-0.06896488302,0.99658251510574,0.9999981117339872,0.9997542485126276,0.9999794825285694
-0.0679211478,0.996618674471299,0.9999981117339872,0.9997663331036316,0.9999776860679372
-0.06687741258,0.9966546450151058,0.9999980173206864,0.9997762462446896,0.9999756059556264
-0.06583367736,0.9966884441087616,0.9999980173206864,0.999785781742279,0.9999722021354812
-0.06478994214,0.9967242258308155,0.9999980173206864,0.9997950340072664,0.9999703111242894
-0.06374620692,0.9967591578549848,0.9999980173206864,0.9998041918613868,0.999968325562538
-0.0627024717,0.996792673716012,0.9999980173206864,0.9998108950329592,0.9999665291019058
-0.06165873648,0.9968270392749244,0.9999980173206864,0.999819392011009,0.9999629361806416
-0.06061500126,0.9968605551359516,0.9999980173206864,0.9998257175391128,0.999961423371688
-0.05957126604,0.996894165407855,0.9999978284940853,0.9998311933694116,0.9999589650571388
-0.05852753082,0.996927586858006,0.9999975452541832,0.9998383685953204,0.9999578304504236
-0.0574837956,0.9969606306646528,0.9999975452541832,0.9998425226734778,0.9999537647763612
-0.05644006038,0.9969925415407856,0.9999974508408828,0.9998483761472454,0.9999521574168484
-0.05539632516,0.9970264350453172,0.9999974508408828,0.999854135210146,0.999949699102299
-0.05435258994,0.997057496223565,0.9999974508408828,0.9998582892883034,0.9999484699450244
-0.05330885472,0.9970907288519636,0.9999974508408828,0.9998624433664612,0.9999444988215216
-0.0522651195,0.99712207326284,0.9999972620142812,0.9998672583206892,0.9999428914620088
-0.05122138428,0.9971537009063444,0.9999972620142812,0.9998706571119091,0.9999407167991384
-0.05017764906,0.9971858006042296,0.9999972620142812,0.9998763217639424,0.9999390148890656
-0.04913391384,0.9972165785498488,0.9999972620142812,0.9998785876247556,0.9999362729228376
-0.04809017862,0.997247167673716,0.9999971676009808,0.9998830249355152,0.99993343640605
-0.0470464434,0.99727832326284,0.9999971676009808,0.9998859516723988,0.999931639945418
-0.04600270818,0.997309667673716,0.9999971676009808,0.9998892560527516,0.9999296543836664
-0.0449589729599999,0.9973399735649549,0.9999971676009808,0.999892560433104,0.9999271960691172
-0.04391523774,0.9973701850453172,0.9999971676009808,0.999895487169988,0.9999239813500912
