STRIP_ID,Detector,detector_side,Strip,threshold_ADC,threshold_keV
32,0,h,0,1665,8.29624
33,0,h,1,1605,7.24664
34,0,h,2,1605,5.62865
35,0,h,3,1653,7.05237
36,0,h,4,1677,11.1068
37,0,h,5,1623,8.70834
38,0,h,6,1645,8.41283
39,0,h,7,1707,6.97935
40,0,h,8,1607,9.86407
41,0,h,9,1607,9.65925
42,0,h,10,1651,6.34829
43,0,h,11,1641,8.36669
44,0,h,12,1645,9.49023
45,0,h,13,1615,9.63327
46,0,h,14,1665,5.49312
47,0,h,15,1651,3.57873
48,0,h,16,1669,9.59318
49,0,h,17,1591,6.91723
50,0,h,18,1633,6.89586
51,0,h,19,1601,7.90865
52,0,h,20,1651,5.28688
53,0,h,21,1615,9.08966
54,0,h,22,1659,8.31145
55,0,h,23,1651,9.19817
56,0,h,24,1631,8.81711
57,0,h,25,1657,7.17582
58,0,h,26,1607,6.06533
59,0,h,27,1677,7.02454
60,0,h,28,1621,8.18642
61,0,h,29,1643,7.44872
62,0,h,30,1651,8.54837
0,0,h,32,1671,11.4113
1,0,h,33,1617,9.57713
2,0,h,34,1635,10.4654
3,0,h,35,1723,11.019
4,0,h,36,1689,5.13932
5,0,h,37,1561,7.06741
6,0,h,38,1599,7.31289
7,0,h,39,1621,9.15929
8,0,h,40,1661,2.76966
9,0,h,41,1693,5.36003
10,0,h,42,1695,6.88497
11,0,h,43,1603,7.63231
12,0,h,44,1633,7.68913
13,0,h,45,1637,8.42255
14,0,h,46,1677,7.33001
15,0,h,47,1633,6.63555
16,0,h,48,1671,4.5869
17,0,h,49,1673,3.56367
18,0,h,50,1675,8.28738
19,0,h,51,1645,6.14362
20,0,h,52,1581,6.42511
21,0,h,53,1659,8.75738
22,0,h,54,1633,2.32107
23,0,h,55,1671,7.35796
24,0,h,56,1647,5.8258
25,0,h,57,1683,8.4737
26,0,h,58,1617,5.90708
27,0,h,59,1675,4.94458
28,0,h,60,1685,6.61478
29,0,h,61,1649,8.87564
30,0,h,62,1661,4.63048
31,0,h,63,1695,5.75366
2048,0,h,64,1689,17.0926
96,0,l,0,1631,11.3967
97,0,l,1,1625,6.74635
98,0,l,2,1617,4.78411
99,0,l,3,1639,8.3456
100,0,l,4,1637,5.52511
101,0,l,5,1587,7.67627
102,0,l,6,1549,7.14217
103,0,l,7,1631,8.20278
104,0,l,8,1599,7.75334
105,0,l,9,1581,7.45012
106,0,l,10,1563,6.79058
107,0,l,11,1629,7.77811
108,0,l,12,1529,5.43498
109,0,l,13,1589,7.9611
110,0,l,14,1567,7.04698
111,0,l,15,1613,7.34307
112,0,l,16,1571,6.70908
113,0,l,17,1529,7.8067
114,0,l,18,1597,6.36054
115,0,l,19,1535,5.04313
116,0,l,20,1595,6.97817
117,0,l,21,1575,7.86195
118,0,l,22,1655,6.21244
119,0,l,23,1567,7.01775
120,0,l,24,1549,6.27765
121,0,l,25,1517,6.71423
122,0,l,26,1583,6.60891
123,0,l,27,1599,5.78205
124,0,l,28,1635,6.96776
125,0,l,29,1571,7.53213
126,0,l,30,1565,7.36075
127,0,l,31,1565,7.75449
64,0,l,32,1537,7.62528
65,0,l,33,1547,5.67772
66,0,l,34,1501,6.64718
67,0,l,35,1581,5.93808
68,0,l,36,1629,7.08803
69,0,l,37,1597,6.60492
70,0,l,38,1623,6.76502
71,0,l,39,1629,7.11413
72,0,l,40,1573,6.44484
73,0,l,41,1587,7.53564
74,0,l,42,1613,8.15605
75,0,l,43,1551,6.31821
76,0,l,44,1577,7.27602
77,0,l,45,1545,7.17574
78,0,l,46,1575,6.84972
79,0,l,47,1623,6.7571
80,0,l,48,1581,7.19972
81,0,l,49,1557,7.57214
82,0,l,50,1629,6.01536
83,0,l,51,1517,5.31723
84,0,l,52,1575,6.3896
85,0,l,53,1581,8.51051
87,0,l,55,1681,7.06632
88,0,l,56,1583,6.55925
89,0,l,57,1575,6.37716
90,0,l,58,1569,7.69255
91,0,l,59,1555,7.46186
92,0,l,60,1555,7.3371
93,0,l,61,1551,7.22513
94,0,l,62,1651,7.54836
95,0,l,63,1613,9.29434
2049,0,l,64,1753,24.4242
