STRIP_ID,Detector,detector_side,Strip,threshold_ADC,threshold_keV
32,0,h,0,1655,7.80751
33,0,h,1,1599,7.06641
34,0,h,2,1599,6.10405
35,0,h,3,1643,6.92211
36,0,h,4,1667,8.27843
37,0,h,5,1615,7.87348
38,0,h,6,1635,6.72133
39,0,h,7,1697,6.41645
40,0,h,8,1587,6.46454
41,0,h,9,1597,7.43047
42,0,h,10,1643,6.57237
43,0,h,11,1633,7.63926
44,0,h,12,1635,7.91081
45,0,h,13,1607,7.10889
46,0,h,14,1657,8.79594
47,0,h,15,1641,4.8166
48,0,h,16,1651,6.38263
49,0,h,17,1583,6.54832
50,0,h,18,1623,5.96096
51,0,h,19,1591,6.57045
52,0,h,20,1641,5.68621
53,0,h,21,1605,6.58429
54,0,h,22,1649,6.8943
55,0,h,23,1641,6.69811
56,0,h,24,1623,8.17286
57,0,h,25,1647,6.06003
58,0,h,26,1599,6.36668
59,0,h,27,1667,7.22967
60,0,h,28,1613,6.621
61,0,h,29,1635,7.29388
62,0,h,30,1641,7.77448
1,0,h,33,1627,10.4677
2,0,h,34,1643,9.78306
3,0,h,35,1731,10.6313
4,0,h,36,1699,8.76577
5,0,h,37,1569,9.20517
6,0,h,38,1613,9.12713
7,0,h,39,1631,9.93897
8,0,h,40,1675,7.72082
9,0,h,41,1703,8.44658
10,0,h,42,1705,8.57866
11,0,h,43,1613,9.6912
12,0,h,44,1643,9.24213
13,0,h,45,1647,9.15133
14,0,h,46,1685,8.1746
15,0,h,47,1641,8.24989
16,0,h,48,1681,8.4089
17,0,h,49,1681,7.22479
18,0,h,50,1683,9.2895
19,0,h,51,1657,9.49745
20,0,h,52,1591,8.1334
21,0,h,53,1667,9.34384
22,0,h,54,1643,7.36705
23,0,h,55,1679,8.50573
24,0,h,56,1657,8.69538
25,0,h,57,1693,9.52887
26,0,h,58,1625,9.30003
27,0,h,59,1685,8.60352
28,0,h,60,1695,9.22683
29,0,h,61,1657,8.58279
30,0,h,62,1673,7.3637
31,0,h,63,1707,9.60266
2048,0,h,64,1653,11.1193
96,0,l,0,1683,11.0354
97,0,l,1,1635,11.247
98,0,l,2,1639,9.80599
99,0,l,3,1639,9.46409
100,0,l,4,1687,10.3279
101,0,l,5,1595,10.3297
102,0,l,6,1575,9.57269
103,0,l,7,1567,10.4192
104,0,l,8,1549,9.26945
105,0,l,9,1657,9.95161
106,0,l,10,1661,9.76072
107,0,l,11,1625,11.1442
108,0,l,12,1669,10.1511
109,0,l,13,1637,10.5163
110,0,l,14,1655,10.0961
111,0,l,15,1575,9.24905
112,0,l,16,1607,9.48995
113,0,l,17,1543,9.58622
114,0,l,18,1611,10.8532
115,0,l,19,1539,10.4255
116,0,l,20,1617,10.0323
117,0,l,21,1543,10.6842
118,0,l,22,1609,10.8072
119,0,l,23,1601,10.1204
120,0,l,24,1613,9.50709
121,0,l,25,1581,9.65986
122,0,l,26,1639,9.77406
123,0,l,27,1583,9.83329
124,0,l,28,1621,10.9243
125,0,l,29,1585,10.4623
126,0,l,30,1559,11.586
127,0,l,31,1587,10.313
64,0,l,32,1617,8.75818
65,0,l,33,1609,7.78899
66,0,l,34,1617,7.12909
67,0,l,35,1659,9.04614
68,0,l,36,1669,7.86825
69,0,l,37,1641,8.86792
70,0,l,38,1653,7.4553
71,0,l,39,1595,8.66945
72,0,l,40,1613,7.86736
73,0,l,41,1603,7.80035
74,0,l,42,1645,7.73047
75,0,l,43,1615,6.93748
76,0,l,44,1583,7.31052
77,0,l,45,1623,8.33747
78,0,l,46,1615,8.07423
79,0,l,47,1637,8.05177
80,0,l,48,1657,8.36134
81,0,l,49,1619,8.76346
82,0,l,50,1613,6.59247
83,0,l,51,1679,6.0153
84,0,l,52,1645,8.88964
85,0,l,53,1643,10.8901
86,0,l,54,1603,8.01437
87,0,l,55,1607,6.48795
88,0,l,56,1671,7.73212
89,0,l,57,1671,8.8959
90,0,l,58,1691,8.743
91,0,l,59,1553,7.48057
92,0,l,60,1653,8.54782
93,0,l,61,1625,8.24837
94,0,l,62,1643,7.10046
95,0,l,63,1647,8.21466
2049,0,l,64,1663,17.2687
