TH (UPPER) dss 0 34 n 999.5
TH (LOWER) dss 0 34 p 79.5
TH (UPPER) dss 0 34 p 999.5
TH (LOWER) dss 0 35 n 86.5
TH (UPPER) dss 0 35 n 999.5
TH (LOWER) dss 0 35 p 84.5
TH (UPPER) dss 0 35 p 999.5
TH (LOWER) dss 0 36 n 89.5
TH (UPPER) dss 0 36 n 999.5
TH (LOWER) dss 0 36 p 79.5
TH (UPPER) dss 0 36 p 999.5
TH (LOWER) dss 0 37 n 86.5
TH (UPPER) dss 0 37 n 999.5
TH (LOWER) dss 0 37 p 83.5
TH (UPPER) dss 0 37 p 999.5
TH (LOWER) dss 1 1 n 82.5
TH (UPPER) dss 1 1 n 998.5
TH (LOWER) dss 1 1 p 82.5
TH (UPPER) dss 1 1 p 995.5
TH (LOWER) dss 1 2 n 84.5
TH (UPPER) dss 1 2 n 999.5
TH (LOWER) dss 1 2 p 82.5
TH (UPPER) dss 1 2 p 999.5
TH (LOWER) dss 1 3 n 83.5
TH (UPPER) dss 1 3 n 999.5
TH (LOWER) dss 1 3 p 82.5
TH (UPPER) dss 1 3 p 998.5
TH (LOWER) dss 1 4 n 83.5
TH (UPPER) dss 1 4 n 999.5
TH (LOWER) dss 1 4 p 83.5
TH (UPPER) dss 1 4 p 999.5
TH (LOWER) dss 1 5 n 82.5
TH (UPPER) dss 1 5 n 999.5
TH (LOWER) dss 1 5 p 83.5
TH (UPPER) dss 1 5 p 998.5
TH (LOWER) dss 1 6 n 88.5
TH (UPPER) dss 1 6 n 999.5
TH (LOWER) dss 1 6 p 82.5
TH (UPPER) dss 1 6 p 999.5
TH (LOWER) dss 1 7 n 79.5
TH (UPPER) dss 1 7 n 999.5
TH (LOWER) dss 1 7 p 83.5
TH (UPPER) dss 1 7 p 999.5
TH (LOWER) dss 1 8 n 89.5
TH (UPPER) dss 1 8 n 999.5
TH (LOWER) dss 1 8 p 83.5
TH (UPPER) dss 1 8 p 999.5
TH (LOWER) dss 1 9 n 81.5
TH (UPPER) dss 1 9 n 999.5
TH (LOWER) dss 1 9 p 86.5
TH (UPPER) dss 1 9 p 999.5
TH (LOWER) dss 1 10 n 83.5
TH (UPPER) dss 1 10 n 998.5
TH (LOWER) dss 1 10 p 91.5
TH (UPPER) dss 1 10 p 998.5
TH (LOWER) dss 1 11 n 79.5
TH (UPPER) dss 1 11 n 999.5
TH (LOWER) dss 1 11 p 85.5
TH (UPPER) dss 1 11 p 998.5
TH (LOWER) dss 1 12 n 78.5
TH (UPPER) dss 1 12 n 999.5
TH (LOWER) dss 1 12 p 83.5
TH (UPPER) dss 1 12 p 999.5
TH (LOWER) dss 1 13 n 86.5
TH (UPPER) dss 1 13 n 999.5
TH (LOWER) dss 1 13 p 79.5
TH (UPPER) dss 1 13 p 999.5
TH (LOWER) dss 1 14 n 81.5
TH (UPPER) dss 1 14 n 998.5
TH (LOWER) dss 1 14 p 79.5
TH (UPPER) dss 1 14 p 999.5
TH (LOWER) dss 1 15 n 81.5
TH (UPPER) dss 1 15 n 999.5
TH (LOWER) dss 1 15 p 81.5
TH (UPPER) dss 1 15 p 999.5
TH (LOWER) dss 1 16 n 81.5
TH (UPPER) dss 1 16 n 999.5
TH (LOWER) dss 1 16 p 81.5
TH (UPPER) dss 1 16 p 999.5
TH (LOWER) dss 1 17 n 85.5
TH (UPPER) dss 1 17 n 999.5
TH (LOWER) dss 1 17 p 84.5
TH (UPPER) dss 1 17 p 999.5
TH (LOWER) dss 1 18 n 83.5
TH (UPPER) dss 1 18 n 999.5
TH (LOWER) dss 1 18 p 81.5
TH (UPPER) dss 1 18 p 999.5
TH (LOWER) dss 1 19 n 80.5
TH (UPPER) dss 1 19 n 999.5
TH (LOWER) dss 1 19 p 80.5
TH (UPPER) dss 1 19 p 999.5
TH (LOWER) dss 1 20 n 82.5
TH (UPPER) dss 1 20 n 998.5
TH (LOWER) dss 1 20 p 79.5
TH (UPPER) dss 1 20 p 999.5
TH (LOWER) dss 1 21 n 82.5
TH (UPPER) dss 1 21 n 999.5
TH (LOWER) dss 1 21 p 78.5
TH (UPPER) dss 1 21 p 999.5
TH (LOWER) dss 1 22 n 83.5
TH (UPPER) dss 1 22 n 999.5
TH (LOWER) dss 1 22 p 83.5
TH (UPPER) dss 1 22 p 999.5
TH (LOWER) dss 1 23 n 84.5
TH (UPPER) dss 1 23 n 999.5
TH (LOWER) dss 1 23 p 83.5
TH (UPPER) dss 1 23 p 999.5
TH (LOWER) dss 1 24 n 88.5
TH (UPPER) dss 1 24 n 999.5
TH (LOWER) dss 1 24 p 83.5
TH (UPPER) dss 1 24 p 999.5
TH (LOWER) dss 1 25 n 80.5
TH (UPPER) dss 1 25 n 999.5
TH (LOWER) dss 1 25 p 81.5
TH (UPPER) dss 1 25 p 999.5
TH (LOWER) dss 1 26 n 76.5
TH (UPPER) dss 1 26 n 999.5
TH (LOWER) dss 1 26 p 81.5
TH (UPPER) dss 1 26 p 999.5
TH (LOWER) dss 1 27 n 84.5
TH (UPPER) dss 1 27 n 999.5
TH (LOWER) dss 1 27 p 84.5
TH (UPPER) dss 1 27 p 999.5
TH (LOWER) dss 1 28 n 87.5
TH (UPPER) dss 1 28 n 999.5
TH (LOWER) dss 1 28 p 83.5
TH (UPPER) dss 1 28 p 999.5
TH (LOWER) dss 1 29 n 83.5
TH (UPPER) dss 1 29 n 999.5
TH (LOWER) dss 1 29 p 80.5
TH (UPPER) dss 1 29 p 999.5
TH (LOWER) dss 1 30 n 82.5
TH (UPPER) dss 1 30 n 999.5
TH (LOWER) dss 1 30 p 79.5
TH (UPPER) dss 1 30 p 998.5
TH (LOWER) dss 1 31 n 87.5
TH (UPPER) dss 1 31 n 999.5
TH (LOWER) dss 1 31 p 83.5
TH (UPPER) dss 1 31 p 999.5
TH (LOWER) dss 1 32 n 86.5
TH (UPPER) dss 1 32 n 999.5
TH (LOWER) dss 1 32 p 81.5
TH (UPPER) dss 1 32 p 999.5
TH (LOWER) dss 1 33 n 78.5
TH (UPPER) dss 1 33 n 999.5
TH (LOWER) dss 1 33 p 80.5
TH (UPPER) dss 1 33 p 999.5
TH (LOWER) dss 1 34 n 83.5
TH (UPPER) dss 1 34 n 999.5
TH (LOWER) dss 1 34 p 84.5
TH (UPPER) dss 1 34 p 999.5
TH (LOWER) dss 1 35 n 80.5
TH (UPPER) dss 1 35 n 999.5
TH (LOWER) dss 1 35 p 82.5
TH (UPPER) dss 1 35 p 998.5
TH (LOWER) dss 1 36 n 81.5
TH (UPPER) dss 1 36 n 999.5
TH (LOWER) dss 1 36 p 84.5
TH (UPPER) dss 1 36 p 999.5
TH (LOWER) dss 1 37 n 79.5
TH (UPPER) dss 1 37 n 993.5
TH (LOWER) dss 1 37 p 86.5
TH (UPPER) dss 1 37 p 999.5
TH (LOWER) dss 2 1 n 84.5
TH (UPPER) dss 2 1 n 999.5
TH (LOWER) dss 2 1 p 85.5
TH (UPPER) dss 2 1 p 993.5
TH (LOWER) dss 2 2 n 82.5
TH (UPPER) dss 2 2 n 999.5
TH (LOWER) dss 2 2 p 86.5
TH (UPPER) dss 2 2 p 999.5
TH (LOWER) dss 2 3 n 84.5
TH (UPPER) dss 2 3 n 998.5
TH (LOWER) dss 2 3 p 83.5
TH (UPPER) dss 2 3 p 998.5
TH (LOWER) dss 2 4 n 84.5
TH (UPPER) dss 2 4 n 999.5
TH (LOWER) dss 2 4 p 81.5
TH (UPPER) dss 2 4 p 999.5
TH (LOWER) dss 2 5 n 87.5
TH (UPPER) dss 2 5 n 999.5
TH (LOWER) dss 2 5 p 82.5
TH (UPPER) dss 2 5 p 998.5
TH (LOWER) dss 2 6 n 81.5
TH (UPPER) dss 2 6 n 999.5
TH (LOWER) dss 2 6 p 79.5
TH (UPPER) dss 2 6 p 999.5
TH (LOWER) dss 2 7 n 83.5
TH (UPPER) dss 2 7 n 999.5
TH (LOWER) dss 2 7 p 78.5
TH (UPPER) dss 2 7 p 999.5
TH (LOWER) dss 2 8 n 87.5
TH (UPPER) dss 2 8 n 999.5
TH (LOWER) dss 2 8 p 90.5
TH (UPPER) dss 2 8 p 999.5
TH (LOWER) dss 2 9 n 84.5
TH (UPPER) dss 2 9 n 999.5
TH (LOWER) dss 2 9 p 84.5
