# Det ID, Side, Disabled Strip, [Read-out via]
# double-wide strips
9 l 22 23
10 l 54 53
11 l 15 14
11 l 27 28
13 l 40 39
13 l 44 43
13 l 50 49
15 l 44 43
15 h 45 44
# tested with fauly NICEv1 board (disabled HV31)
0 h 31
1 h 31
2 h 31
3 h 31
3 h 32
6 h 31
6 h 32
7 h 31
8 h 31
9 h 31
10 h 31
12 h 31
13 h 31
14 h 31
15 h 31
