STRIP_ID,Detector,detector_side,Strip,threshold_ADC,threshold_keV
228,1,l,4,1691,12.1229
229,1,l,5,1597,11.162
230,1,l,6,1575,10.5497
231,1,l,7,1569,11.5411
232,1,l,8,1551,10.5922
233,1,l,9,1657,10.2663
234,1,l,10,1663,10.3737
235,1,l,11,1627,12.2278
236,1,l,12,1669,10.5821
237,1,l,13,1639,11.3894
238,1,l,14,1655,10.746
239,1,l,15,1577,10.7013
240,1,l,16,1609,10.8266
241,1,l,17,1545,10.5546
242,1,l,18,1613,12.2309
243,1,l,19,1541,11.7664
244,1,l,20,1619,10.8348
245,1,l,21,1547,11.9252
246,1,l,22,1611,11.3186
247,1,l,23,1603,10.8809
248,1,l,24,1617,10.8848
249,1,l,25,1583,10.2006
250,1,l,26,1641,11.0777
251,1,l,27,1587,11.4576
252,1,l,28,1623,11.7928
253,1,l,29,1589,12.1424
254,1,l,30,1559,12.2926
255,1,l,31,1591,11.3522
192,1,l,32,1621,9.5173
193,1,l,33,1615,8.30187
194,1,l,34,1621,7.98035
195,1,l,35,1667,9.64464
196,1,l,36,1675,8.37093
197,1,l,37,1645,8.75301
198,1,l,38,1661,9.03831
199,1,l,39,1603,9.57819
200,1,l,40,1619,8.66471
201,1,l,41,1609,8.46943
202,1,l,42,1653,9.53564
203,1,l,43,1621,8.37193
204,1,l,44,1587,7.54533
205,1,l,45,1629,9.15012
206,1,l,46,1623,9.36024
207,1,l,47,1645,9.56339
208,1,l,48,1663,9.30308
209,1,l,49,1625,8.6606
210,1,l,50,1621,8.67817
211,1,l,51,1757,18.272
212,1,l,52,1723,21.446
213,1,l,53,1707,19.9233
214,1,l,54,1609,9.43078
215,1,l,55,1615,7.6821
216,1,l,56,1677,8.25168
217,1,l,57,1677,8.4786
218,1,l,58,1699,9.46149
219,1,l,59,1561,8.73565
220,1,l,60,1659,8.98161
221,1,l,61,1633,9.47684
222,1,l,62,1651,6.51336
223,1,l,63,1651,8.87134
2051,1,l,64,1639,13.3818
288,2,h,0,1645,6.36769
289,2,h,1,1601,7.41537
290,2,h,2,1601,7.39381
291,2,h,3,1637,5.91408
292,2,h,4,1663,7.89804
293,2,h,5,1607,6.51352
294,2,h,6,1639,7.73681
295,2,h,7,1701,7.39827
296,2,h,8,1591,7.44452
297,2,h,9,1589,7.02372
298,2,h,10,1643,6.89551
299,2,h,11,1625,6.72062
300,2,h,12,1627,6.95573
301,2,h,13,1611,8.16129
302,2,h,14,1649,5.4726
303,2,h,15,1645,5.83986
304,2,h,16,1653,7.42766
305,2,h,17,1575,5.75265
306,2,h,18,1625,6.94875
307,2,h,19,1593,7.40839
308,2,h,20,1643,6.18834
309,2,h,21,1609,8.15869
310,2,h,22,1653,7.86236
311,2,h,23,1645,8.01484
312,2,h,24,1615,6.63814
313,2,h,25,1651,7.186
314,2,h,26,1591,5.78614
315,2,h,27,1661,6.08055
316,2,h,28,1615,7.88338
317,2,h,29,1637,7.78356
318,2,h,30,1647,8.88503
256,2,h,32,1677,10.6262
257,2,h,33,1621,10.168
258,2,h,34,1639,10.5108
259,2,h,35,1727,10.3822
260,2,h,36,1695,8.28355
261,2,h,37,1565,9.19309
262,2,h,38,1607,9.31363
263,2,h,39,1625,8.92137
264,2,h,40,1669,7.82503
265,2,h,41,1697,7.82947
266,2,h,42,1701,8.82998
267,2,h,43,1609,10.1051
268,2,h,44,1637,9.01727
269,2,h,45,1641,8.87715
270,2,h,46,1679,8.27213
271,2,h,47,1637,8.73714
272,2,h,48,1677,8.07328
273,2,h,49,1677,7.1116
274,2,h,50,1679,9.28538
275,2,h,51,1651,8.29411
276,2,h,52,1585,7.87812
277,2,h,53,1663,9.49585
278,2,h,54,1639,6.84234
279,2,h,55,1673,8.14779
280,2,h,56,1651,7.82078
281,2,h,57,1687,9.54642
282,2,h,58,1621,8.37589
283,2,h,59,1679,7.93132
284,2,h,60,1689,8.85484
285,2,h,61,1653,8.94396
286,2,h,62,1667,7.94104
287,2,h,63,1701,9.13826
2052,2,h,64,1661,11.1279
352,2,l,0,1677,11.4243
353,2,l,1,1629,11.2764
354,2,l,2,1635,10.0298
355,2,l,3,1633,9.65373
356,2,l,4,1683,11.063
357,2,l,5,1589,10.3309
358,2,l,6,1569,9.67197
359,2,l,7,1563,10.904
360,2,l,8,1543,9.41567
361,2,l,9,1651,10.1392
362,2,l,10,1655,9.79075
363,2,l,11,1619,11.192
364,2,l,12,1661,9.72344
365,2,l,13,1631,10.5136
366,2,l,14,1649,9.97726
367,2,l,15,1571,9.63735
368,2,l,16,1601,9.6829
369,2,l,17,1537,10.1158
370,2,l,18,1605,10.1025
371,2,l,19,1535,10.9444
372,2,l,20,1611,9.94449
373,2,l,21,1539,11.0196
374,2,l,22,1603,10.186
375,2,l,23,1595,10.5562
376,2,l,24,1609,10.3888
377,2,l,25,1575,9.9196
378,2,l,26,1635,10.0381
379,2,l,27,1579,10.3676
380,2,l,28,1613,10.036
381,2,l,29,1579,10.5413
382,2,l,30,1553,11.3211
383,2,l,31,1581,10.1964
320,2,l,32,1615,9.29046
321,2,l,33,1611,8.5091
322,2,l,34,1617,7.828
323,2,l,35,1659,9.2598
324,2,l,36,1667,8.2864
325,2,l,37,1639,8.98834
326,2,l,38,1653,8.54532
327,2,l,39,1595,9.18907
328,2,l,40,1613,8.76399
329,2,l,41,1603,8.64953
330,2,l,42,1645,8.2627
331,2,l,43,1615,7.64668
332,2,l,44,1581,7.70009
333,2,l,45,1623,9.30219
334,2,l,46,1615,8.76876
335,2,l,47,1635,8.46273
336,2,l,48,1657,9.06341
337,2,l,49,1619,9.30293
338,2,l,50,1613,7.38125
339,2,l,51,1689,8.28374
340,2,l,52,1635,7.74857
341,2,l,53,1625,7.69513
342,2,l,54,1603,8.90648
343,2,l,55,1607,7.33971
344,2,l,56,1671,8.01232
345,2,l,57,1671,8.63099
346,2,l,58,1693,9.82631
347,2,l,59,1551,7.8899
348,2,l,60,1653,8.81121
349,2,l,61,1623,8.14239
350,2,l,62,1643,7.66504
351,2,l,63,1647,8.98215
2053,2,l,64,1635,12.4237
416,3,h,0,1655,7.80751
417,3,h,1,1599,7.06641
418,3,h,2,1599,6.10405
419,3,h,3,1643,6.92211
420,3,h,4,1667,8.27843
421,3,h,5,1615,7.87348
422,3,h,6,1635,6.72133
423,3,h,7,1697,6.41645
424,3,h,8,1587,6.46454
425,3,h,9,1597,7.43047
426,3,h,10,1643,6.57237
427,3,h,11,1633,7.63926
428,3,h,12,1635,7.91081
429,3,h,13,1607,7.10889
430,3,h,14,1657,8.79594
431,3,h,15,1641,4.8166
432,3,h,16,1651,6.38263
433,3,h,17,1583,6.54832
434,3,h,18,1623,5.96096
435,3,h,19,1591,6.57045
436,3,h,20,1641,5.68621
437,3,h,21,1605,6.58429
438,3,h,22,1649,6.8943
439,3,h,23,1641,6.69811
440,3,h,24,1623,8.17286
441,3,h,25,1647,6.06003
442,3,h,26,1599,6.36668
443,3,h,27,1667,7.22967
444,3,h,28,1613,6.621
445,3,h,29,1635,7.29388
446,3,h,30,1641,7.77448
385,3,h,33,1627,10.4677
386,3,h,34,1643,9.78306
387,3,h,35,1731,10.6313
388,3,h,36,1699,8.76577
389,3,h,37,1569,9.20517
390,3,h,38,1613,9.12713
391,3,h,39,1631,9.93897
392,3,h,40,1675,7.72082
393,3,h,41,1703,8.44658
394,3,h,42,1705,8.57866
395,3,h,43,1613,9.6912
396,3,h,44,1643,9.24213
397,3,h,45,1647,9.15133
398,3,h,46,1685,8.1746
399,3,h,47,1641,8.24989
400,3,h,48,1681,8.4089
401,3,h,49,1681,7.22479
402,3,h,50,1683,9.2895
403,3,h,51,1657,9.49745
404,3,h,52,1591,8.1334
405,3,h,53,1667,9.34384
406,3,h,54,1643,7.36705
407,3,h,55,1679,8.50573
408,3,h,56,1657,8.69538
409,3,h,57,1693,9.52887
410,3,h,58,1625,9.30003
411,3,h,59,1685,8.60352
412,3,h,60,1695,9.22683
413,3,h,61,1657,8.58279
414,3,h,62,1673,7.3637
415,3,h,63,1707,9.60266
2054,3,h,64,1653,11.1193
480,3,l,0,1683,11.0354
481,3,l,1,1635,11.247
482,3,l,2,1639,9.80599
483,3,l,3,1639,9.46409
484,3,l,4,1687,10.3279
485,3,l,5,1595,10.3297
486,3,l,6,1575,9.57269
487,3,l,7,1567,10.4192
488,3,l,8,1549,9.26945
489,3,l,9,1657,9.95161
490,3,l,10,1661,9.76072
491,3,l,11,1625,11.1442
492,3,l,12,1669,10.1511
493,3,l,13,1637,10.5163
494,3,l,14,1655,10.0961
495,3,l,15,1575,9.24905
496,3,l,16,1607,9.48995
497,3,l,17,1543,9.58622
498,3,l,18,1611,10.8532
499,3,l,19,1539,10.4255
500,3,l,20,1617,10.0323
501,3,l,21,1543,10.6842
502,3,l,22,1609,10.8072
503,3,l,23,1601,10.1204
504,3,l,24,1613,9.50709
505,3,l,25,1581,9.65986
506,3,l,26,1639,9.77406
507,3,l,27,1583,9.83329
508,3,l,28,1621,10.9243
509,3,l,29,1585,10.4623
510,3,l,30,1559,11.586
511,3,l,31,1587,10.313
448,3,l,32,1617,8.75818
449,3,l,33,1609,7.78899
450,3,l,34,1617,7.12909
451,3,l,35,1659,9.04614
452,3,l,36,1669,7.86825
453,3,l,37,1641,8.86792
454,3,l,38,1653,7.4553
455,3,l,39,1595,8.66945
456,3,l,40,1613,7.86736
457,3,l,41,1603,7.80035
458,3,l,42,1645,7.73047
459,3,l,43,1615,6.93748
460,3,l,44,1583,7.31052
461,3,l,45,1623,8.33747
462,3,l,46,1615,8.07423
463,3,l,47,1637,8.05177
464,3,l,48,1657,8.36134
465,3,l,49,1619,8.76346
466,3,l,50,1613,6.59247
467,3,l,51,1679,6.0153
468,3,l,52,1645,8.88964
469,3,l,53,1643,10.8901
470,3,l,54,1603,8.01437
471,3,l,55,1607,6.48795
472,3,l,56,1671,7.73212
473,3,l,57,1671,8.8959
474,3,l,58,1691,8.743
475,3,l,59,1553,7.48057
476,3,l,60,1653,8.54782
477,3,l,61,1625,8.24837
478,3,l,62,1643,7.10046
479,3,l,63,1647,8.21466
2055,3,l,64,1663,17.2687
544,4,h,0,1629,10.2827
545,4,h,1,1647,9.64213
546,4,h,2,1617,8.95927
547,4,h,3,1639,8.93494
548,4,h,4,1649,7.51131
549,4,h,5,1587,6.19432
550,4,h,6,1553,8.45441
551,4,h,7,1633,9.89585
552,4,h,8,1601,7.27544
553,4,h,9,1593,9.66965
554,4,h,10,1571,8.26634
555,4,h,11,1643,8.63188
556,4,h,12,1531,7.06865
557,4,h,13,1589,7.42834
558,4,h,14,1567,5.26765
559,4,h,15,1613,4.21792
560,4,h,16,1583,6.7075
561,4,h,17,1531,4.0484
562,4,h,18,1613,9.41427
563,4,h,19,1547,7.30611
564,4,h,20,1615,8.0358
565,4,h,21,1577,7.37277
566,4,h,22,1669,6.61763
567,4,h,23,1569,9.12917
568,4,h,24,1561,7.04837
569,4,h,25,1517,4.65917
570,4,h,26,1583,5.21746
571,4,h,27,1611,7.67617
572,4,h,28,1649,7.71369
573,4,h,29,1573,6.68569
574,4,h,30,1567,7.13705
575,4,h,31,1567,9.09554
512,4,h,32,1557,10.4374
513,4,h,33,1565,8.24774
514,4,h,34,1523,8.77251
515,4,h,35,1591,8.90977
516,4,h,36,1637,8.132
517,4,h,37,1619,10.0908
518,4,h,38,1643,9.31886
519,4,h,39,1649,8.55342
520,4,h,40,1581,9.16117
521,4,h,41,1593,10.2877
522,4,h,42,1623,9.2231
523,4,h,43,1571,8.42203
524,4,h,44,1599,11.083
525,4,h,45,1565,6.79159
526,4,h,46,1585,7.07578
527,4,h,47,1633,7.96503
528,4,h,48,1603,12.9447
529,4,h,49,1579,11.3359
530,4,h,50,1649,10.0887
531,4,h,51,1547,10.3368
532,4,h,52,1603,9.29571
533,4,h,53,1587,7.90187
534,4,h,54,1557,8.37159
535,4,h,55,1689,9.13124
536,4,h,56,1603,9.76762
537,4,h,57,1593,8.94023
538,4,h,58,1587,8.5861
539,4,h,59,1577,10.0594
540,4,h,60,1577,10.7703
541,4,h,61,1579,12.1706
542,4,h,62,1671,10.3495
543,4,h,63,1631,10.1681
2056,4,h,64,1665,0.441162
608,4,l,0,1611,8.31248
609,4,l,1,1627,7.95106
610,4,l,2,1645,10.484
611,4,l,3,1579,7.84844
612,4,l,4,1599,6.93186
613,4,l,5,1637,7.48882
614,4,l,6,1593,8.40711
615,4,l,7,1595,8.92978
616,4,l,8,1667,9.58245
617,4,l,9,1643,10.9619
618,4,l,10,1633,9.02892
619,4,l,11,1711,8.15094
620,4,l,12,1715,11.3617
621,4,l,13,1605,8.45275
622,4,l,14,1651,9.60463
623,4,l,15,1667,7.79102
624,4,l,16,1571,7.68303
625,4,l,17,1579,6.7548
626,4,l,18,1591,8.98756
627,4,l,19,1629,8.67054
628,4,l,20,1681,10.3743
629,4,l,21,1591,7.20824
630,4,l,22,1619,9.21879
631,4,l,23,1711,7.71791
632,4,l,24,1679,8.39519
633,4,l,25,1657,8.25878
634,4,l,26,1681,11.2668
635,4,l,27,1627,7.8718
636,4,l,28,1633,7.85363
637,4,l,29,1659,10.0251
638,4,l,30,1615,10.7199
639,4,l,31,1599,10.6253
576,4,l,32,1645,9.54269
577,4,l,33,1583,8.99905
578,4,l,34,1581,6.6662
579,4,l,35,1547,7.80191
580,4,l,36,1609,9.25256
581,4,l,37,1593,8.94247
582,4,l,38,1545,8.48653
583,4,l,39,1611,7.3096
584,4,l,40,1525,7.62821
585,4,l,41,1485,6.95587
586,4,l,42,1611,7.19233
587,4,l,43,1513,7.51048
588,4,l,44,1509,7.40479
589,4,l,45,1537,6.88087
590,4,l,46,1499,8.05803
591,4,l,47,1537,9.5587
592,4,l,48,1525,7.51689
593,4,l,49,1515,7.26556
594,4,l,50,1577,6.91283
595,4,l,51,1627,6.53716
596,4,l,52,1593,6.66853
597,4,l,53,1603,8.07903
598,4,l,54,1533,7.90377
599,4,l,55,1503,7.53425
600,4,l,56,1549,7.04628
601,4,l,57,1537,6.81071
602,4,l,58,1557,7.48561
603,4,l,59,1561,8.15349
604,4,l,60,1583,8.19359
605,4,l,61,1649,7.74405
606,4,l,62,1619,8.47895
607,4,l,63,1523,7.93206
2057,4,l,64,1627,16.2234
672,5,h,0,1629,10.1935
673,5,h,1,1643,8.67413
674,5,h,2,1617,11.0596
675,5,h,3,1637,8.95959
676,5,h,4,1645,7.00142
677,5,h,5,1635,14.2429
678,5,h,6,1547,7.78248
679,5,h,7,1629,9.52407
680,5,h,8,1597,6.55793
681,5,h,9,1589,9.14048
682,5,h,10,1569,8.21246
683,5,h,11,1637,7.74802
684,5,h,12,1527,6.59612
685,5,h,13,1587,7.05136
686,5,h,14,1567,5.41755
687,5,h,15,1611,4.04889
688,5,h,16,1579,6.20859
689,5,h,17,1527,3.15179
690,5,h,18,1609,8.94371
691,5,h,19,1541,6.48313
692,5,h,20,1611,7.43877
693,5,h,21,1573,6.45802
694,5,h,22,1665,6.00038
695,5,h,23,1565,8.88418
696,5,h,24,1557,6.41389
697,5,h,25,1517,4.60686
698,5,h,26,1583,5.17657
699,5,h,27,1607,7.06194
700,5,h,28,1643,6.74842
701,5,h,29,1567,5.91304
702,5,h,30,1563,6.52346
703,5,h,31,1561,8.30429
640,5,h,32,1535,6.92934
641,5,h,33,1553,6.44934
642,5,h,34,1499,4.93746
643,5,h,35,1579,7.52285
644,5,h,36,1629,7.03351
645,5,h,37,1597,6.90195
646,5,h,38,1629,7.38993
647,5,h,39,1629,5.6429
648,5,h,40,1571,7.93549
649,5,h,41,1577,8.33875
650,5,h,42,1601,5.91023
651,5,h,43,1549,5.02166
652,5,h,44,1589,10.0065
653,5,h,45,1555,6.06294
654,5,h,46,1575,5.51954
655,5,h,47,1623,6.88153
656,5,h,48,1589,10.7352
657,5,h,49,1555,8.12357
658,5,h,50,1635,8.23471
659,5,h,51,1533,8.16528
660,5,h,52,1591,7.53761
661,5,h,53,1577,6.49885
662,5,h,54,1545,6.83131
663,5,h,55,1677,7.7322
664,5,h,56,1591,8.05642
665,5,h,57,1579,7.07807
666,5,h,58,1565,5.27809
667,5,h,59,1553,6.30287
668,5,h,60,1553,7.16356
669,5,h,61,1555,8.64303
670,5,h,62,1647,6.7626
671,5,h,63,1611,6.79488
2058,5,h,64,1699,15.4132
736,5,l,0,1607,7.76436
737,5,l,1,1623,7.54036
738,5,l,2,1639,9.68631
739,5,l,3,1575,7.37089
740,5,l,4,1593,7.17199
741,5,l,5,1633,6.94554
742,5,l,6,1585,7.14084
743,5,l,7,1589,8.01341
744,5,l,8,1659,9.40438
745,5,l,9,1637,10.0999
746,5,l,10,1679,16.322
747,5,l,11,1789,20.7521
748,5,l,12,1711,10.6948
749,5,l,13,1597,7.2543
750,5,l,14,1633,6.85399
751,5,l,15,1661,6.95461
752,5,l,16,1567,7.31957
753,5,l,17,1571,6.25847
754,5,l,18,1585,8.07973
755,5,l,19,1623,7.86685
756,5,l,20,1675,9.50055
757,5,l,21,1583,6.1216
758,5,l,22,1613,8.37916
759,5,l,23,1705,6.95625
760,5,l,24,1673,7.69859
761,5,l,25,1651,8.18591
762,5,l,26,1675,9.82652
763,5,l,27,1621,6.99661
764,5,l,28,1619,6.86831
765,5,l,29,1653,9.30563
766,5,l,30,1607,9.54367
767,5,l,31,1589,8.82799
704,5,l,32,1641,9.10998
705,5,l,33,1575,8.06973
706,5,l,34,1577,6.02498
707,5,l,35,1541,6.81245
708,5,l,36,1603,8.59223
709,5,l,37,1587,8.08224
710,5,l,38,1539,7.71025
711,5,l,39,1607,6.71129
712,5,l,40,1519,6.93109
713,5,l,41,1481,6.42259
714,5,l,42,1605,6.4518
